Date,Time (HH:mm:ss),Time (Fract. Sec),Site,Chlorophyll RFU,Chlorophyll RFU,Cond µS/cm,Depth,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,Depth Round,
8/25/20,10:00:12,0,HI index site,1.4,1.68,41543.8,0.321,52021.4,108.5,111.6,8.88,0.468,33.68,51247.5,-0.3,6.12,33311,1.206,8.16,-66.1,15.086,0.327,44.03733,-68.88743,4.4,6.13,11.7,754.1,0,
8/25/20,10:00:13,0,HI index site,1.4,1.52,41544.1,0.322,52022.2,108.5,111.6,8.88,0.47,33.68,51248.4,-0.26,5.98,33311,1.206,8.16,-66.1,15.086,0.329,44.03733,-68.88743,4.5,6.13,11.7,754,0,
8/25/20,10:00:14,0,HI index site,1.4,1.98,41544.5,0.323,52023,108.5,111.6,8.88,0.471,33.68,51249.1,-0.23,5.94,33312,1.206,8.16,-66.1,15.086,0.319,44.03733,-68.88743,4.5,6.13,11.7,754.1,0,
8/25/20,10:00:15,0,HI index site,1.43,1.64,41543.8,0.324,52022,108.5,111.6,8.88,0.472,33.68,51248.1,-0.21,5.9,33311,1.206,8.16,-66.1,15.086,0.319,44.03733,-68.88744,4.5,6.13,11.7,754,0,
8/25/20,10:00:16,0,HI index site,1.44,1.64,41543.6,0.325,52021.8,108.5,111.6,8.88,0.473,33.68,51247.9,-0.19,5.9,33311,1.206,8.16,-66.1,15.086,0.321,44.03733,-68.88744,4.5,6.13,11.7,754,0,
8/25/20,10:00:17,0,HI index site,1.42,1.67,41543.7,0.325,52021.8,108.5,111.6,8.88,0.474,33.68,51247.9,-0.17,5.91,33311,1.206,8.16,-66.1,15.086,0.325,44.03732,-68.88744,4.7,6.13,11.7,754.1,0,
8/25/20,10:00:18,0,HI index site,1.41,1.69,41543.6,0.326,52021.8,108.5,111.7,8.88,0.475,33.68,51247.9,-0.17,5.87,33311,1.206,8.16,-66.1,15.086,0.313,44.03732,-68.88744,4.7,6.13,11.7,754.1,0,
8/25/20,10:00:19,0,HI index site,1.4,1.67,41543.5,0.326,52021.7,108.5,111.7,8.88,0.476,33.68,51247.8,-0.18,5.82,33311,1.206,8.16,-66.1,15.086,0.316,44.03732,-68.88744,4.7,6.13,11.7,754,0,
8/25/20,10:00:20,0,HI index site,1.4,1.66,41543,0.327,52021.3,108.5,111.7,8.88,0.476,33.68,51247.5,-0.19,5.78,33311,1.206,8.16,-66.1,15.086,0.312,44.03732,-68.88744,4.5,6.13,11.7,754.1,0,
8/25/20,10:00:21,0,HI index site,1.4,1.62,41542.8,0.327,52021.3,108.5,111.7,8.88,0.477,33.68,51247.4,-0.22,5.77,33311,1.206,8.16,-66.1,15.085,0.324,44.03732,-68.88744,4.5,6.13,11.7,754.1,0,
8/25/20,10:00:22,0,HI index site,1.4,1.61,41542.3,0.327,52020.9,108.5,111.7,8.88,0.476,33.68,51247,-0.26,5.78,33311,1.206,8.16,-66.1,15.085,0.312,44.03732,-68.88744,4.5,6.13,11.7,754.1,0,
8/25/20,10:00:23,0,HI index site,1.4,1.58,41541.8,0.326,52020.4,108.5,111.7,8.88,0.475,33.68,51246.5,-0.29,5.81,33310,1.206,8.16,-66.1,15.085,0.317,44.03732,-68.88744,4.3,6.13,11.7,754.1,0,
8/25/20,10:00:24,0,HI index site,1.39,1.57,41541.3,0.326,52020,108.5,111.7,8.88,0.475,33.68,51246.1,-0.34,5.79,33310,1.206,8.16,-66.1,15.085,0.311,44.03732,-68.88744,3.9,6.13,11.7,754.1,0,
8/25/20,10:00:25,0,HI index site,1.38,1.56,41541.1,0.326,52020,108.5,111.7,8.89,0.476,33.68,51246.2,-0.37,5.79,33310,1.206,8.16,-66.1,15.085,0.331,44.03732,-68.88744,3.8,6.13,11.7,754.1,0,
8/25/20,10:00:26,0,HI index site,1.36,1.84,41541.4,0.327,52020.9,108.5,111.7,8.89,0.476,33.68,51247,-0.39,5.76,33311,1.206,8.16,-66.1,15.084,0.352,44.03732,-68.88744,3.7,6.13,11.7,754.1,0,
8/25/20,10:00:27,0,HI index site,1.35,1.96,41541,0.328,52020.7,108.5,111.7,8.89,0.478,33.68,51246.8,-0.4,5.77,33310,1.206,8.16,-66.1,15.084,0.371,44.03732,-68.88745,3.6,6.13,11.7,754.1,0,
8/25/20,10:00:28,0,HI index site,1.36,1.47,41540.4,0.329,52020.4,108.5,111.7,8.89,0.479,33.68,51246.4,-0.41,5.74,33310,1.206,8.16,-66.1,15.084,0.432,44.03732,-68.88745,3.4,6.14,11.6,754.1,0,
8/25/20,10:00:29,0,HI index site,1.38,1.63,41539.7,0.335,52020,108.5,111.7,8.89,0.488,33.68,51246.1,-0.41,5.73,33310,1.206,8.16,-66.2,15.083,0.555,44.03732,-68.88745,3.4,6.14,11.6,754.1,0,
8/25/20,10:00:30,0,HI index site,1.41,1.7,41538.9,0.343,52019.8,108.5,111.7,8.89,0.5,33.68,51245.8,-0.41,5.73,33310,1.206,8.16,-66.2,15.083,0.686,44.03732,-68.88745,3.2,6.14,11.6,754.1,0,
8/25/20,10:00:31,0,HI index site,1.43,1.83,41538,0.354,52019.4,108.5,111.7,8.89,0.516,33.68,51245.4,-0.41,5.79,33310,1.206,8.16,-66.2,15.082,0.769,44.03732,-68.88745,3.1,6.14,11.6,754.1,0,
8/25/20,10:00:32,0,HI index site,1.45,1.9,41537.4,0.367,52019.4,108.6,111.7,8.89,0.535,33.68,51245.4,-0.41,5.85,33309,1.206,8.16,-66.2,15.082,0.857,44.03731,-68.88745,3,6.14,11.6,754.1,0,
8/25/20,10:00:33,0,HI index site,1.47,1.96,41537.1,0.382,52019.5,108.6,111.7,8.89,0.557,33.68,51245.5,-0.4,5.86,33310,1.206,8.16,-66.2,15.081,0.927,44.03731,-68.88745,3.1,6.14,11.6,754.1,0,
8/25/20,10:00:34,0,HI index site,2.17,2.64,41535.8,1.131,52018.9,108.6,111.8,8.89,1.648,33.68,51244.8,-0.39,5.96,33309,1.206,8.16,-66.2,15.08,1.079,44.03731,-68.88745,3,6.14,11.6,754.1,1,
8/25/20,10:00:35,0,HI index site,1.83,2.47,41534.8,1.248,52018.4,108.6,111.8,8.89,1.819,33.68,51244.3,-0.38,6.02,33309,1.206,8.16,-66.2,15.08,1.181,44.03731,-68.88746,2.9,6.14,11.6,754.1,1,
8/25/20,10:00:36,0,HI index site,2.17,3.04,41533,1.297,52017.3,108.6,111.8,8.9,1.89,33.67,51243.2,-0.38,6.11,33308,1.206,8.16,-66.2,15.079,1.278,44.03731,-68.88746,3,6.14,11.6,754,1,
8/25/20,10:00:37,0,HI index site,2.04,2.78,41530.6,1.368,52015.7,108.6,111.8,8.9,1.995,33.67,51241.5,-0.37,8.64,33307,1.206,8.16,-66.3,15.078,1.346,44.03731,-68.88746,2.9,6.14,11.6,754.1,1,
8/25/20,10:00:38,0,HI index site,2.04,2.69,41528.1,1.409,52014.5,108.6,111.8,8.9,2.054,33.67,51240.3,-0.36,9.28,33306,1.206,8.16,-66.3,15.076,1.449,44.03731,-68.88746,2.8,6.13,11.6,754.1,1,
8/25/20,10:00:39,0,HI index site,2.05,2.48,41525.8,1.454,52013.8,108.6,111.8,8.9,2.12,33.67,51239.5,-0.35,8.97,33306,1.206,8.16,-66.3,15.074,1.482,44.03731,-68.88746,2.8,6.13,11.6,754.1,1,
8/25/20,10:00:40,0,HI index site,2.03,2.38,41522.7,1.484,52012.7,108.6,111.8,8.9,2.164,33.67,51238.4,-0.35,7.05,33305,1.206,8.16,-66.3,15.072,1.547,44.03731,-68.88746,2.7,6.13,11.6,754.1,1,
8/25/20,10:00:41,0,HI index site,2.02,2.37,41520,1.509,52012.9,108.6,111.8,8.9,2.199,33.67,51238.4,-0.35,7.31,33305,1.206,8.16,-66.3,15.069,1.578,44.03731,-68.88747,2.6,6.13,11.6,754.1,2,
8/25/20,10:00:42,0,HI index site,2.02,2.21,41518.1,1.534,52012.9,108.6,111.8,8.9,2.236,33.67,51238.3,-0.35,7.79,33305,1.206,8.16,-66.3,15.068,1.637,44.03731,-68.88747,2.5,6.13,11.6,754.1,2,
8/25/20,10:00:43,0,HI index site,2.03,1.81,41515.8,1.552,52013.1,108.6,111.8,8.9,2.263,33.67,51238.4,-0.35,8.1,33305,1.206,8.16,-66.3,15.065,1.658,44.03731,-68.88746,2.5,6.13,11.6,754.1,2,
8/25/20,10:00:44,0,HI index site,2.53,2.5,41513,1.579,52012.8,108.6,111.7,8.89,2.301,33.67,51238,-0.36,8.24,33305,1.206,8.16,-66.3,15.063,1.712,44.03731,-68.88747,2.4,6.13,11.6,754.1,2,
8/25/20,10:00:45,0,HI index site,2.46,2.5,41509.6,1.599,52011.6,108.5,111.7,8.89,2.331,33.67,51236.7,-0.37,8.23,33304,1.206,8.16,-66.3,15.06,1.741,44.03731,-68.88747,2.4,6.13,11.6,754.1,2,
8/25/20,10:00:46,0,HI index site,2.36,3.1,41506.6,1.622,52011.5,108.5,111.6,8.89,2.364,33.67,51236.4,-0.37,8.07,33304,1.206,8.16,-66.3,15.058,1.782,44.03731,-68.88747,2.3,6.13,11.6,754.1,2,
8/25/20,10:00:47,0,HI index site,3.1,4.18,41503.9,1.639,52011.5,108.4,111.6,8.88,2.389,33.67,51236.3,-0.37,11.85,33304,1.206,8.16,-66.4,15.055,1.843,44.03731,-68.88747,2,6.13,11.6,754.1,2,
8/25/20,10:00:48,0,HI index site,3.02,3.05,41501.2,1.669,52011.8,108.3,111.5,8.88,2.432,33.67,51236.5,-0.36,9.27,33304,1.206,8.16,-66.4,15.052,1.941,44.03731,-68.88747,1.9,6.13,11.7,754.1,2,
8/25/20,10:00:49,0,HI index site,2.85,3.05,41499.2,1.695,52012.9,108.3,111.4,8.87,2.471,33.67,51237.4,-0.35,8.67,33304,1.206,8.16,-66.4,15.049,1.983,44.03731,-68.88747,2.1,6.13,11.7,754.1,2,
8/25/20,10:00:50,0,HI index site,2.75,3.14,41496.9,1.719,52013.9,108.2,111.4,8.87,2.506,33.67,51238.2,-0.34,8.7,33305,1.206,8.16,-66.4,15.046,2.027,44.03731,-68.88747,2.3,6.13,11.7,754,2,
8/25/20,10:00:51,0,HI index site,2.64,2.63,41495.8,1.761,52015.8,108.1,111.3,8.86,2.567,33.67,51240,-0.32,10.11,33306,1.206,8.16,-66.4,15.043,2.22,44.0373,-68.88747,2,6.13,11.7,754.1,2,
8/25/20,10:00:52,0,HI index site,2.66,3.14,41494,1.782,52016.8,108.1,111.2,8.86,2.598,33.67,51240.9,-0.3,10.3,33307,1.206,8.16,-66.4,15.041,2.288,44.0373,-68.88747,1.6,6.13,11.7,754.1,2,
8/25/20,10:00:53,0,HI index site,2.6,3.1,41492.3,1.826,52017.2,108,111.1,8.85,2.662,33.67,51241.2,-0.29,10.33,33307,1.206,8.16,-66.5,15.039,2.426,44.0373,-68.88748,1.4,6.13,11.7,754.1,2,
8/25/20,10:00:54,0,HI index site,2.86,3.66,41490.5,2.521,52017.7,107.9,111.1,8.85,3.675,33.67,51241.6,-0.28,9.45,33307,1.206,8.16,-66.5,15.037,2.506,44.0373,-68.88748,1.2,6.13,11.7,754,3,
8/25/20,10:00:55,0,HI index site,2.86,3.66,41489.7,2.572,52019.1,107.9,111,8.84,3.75,33.67,51242.9,-0.26,9.53,33308,1.206,8.17,-66.5,15.035,2.553,44.0373,-68.88748,1.4,6.13,11.7,754.1,3,
8/25/20,10:00:56,0,HI index site,2.86,3.6,41488.7,2.653,52020.4,107.8,110.9,8.84,3.867,33.67,51244,-0.26,9.75,33309,1.206,8.17,-66.5,15.033,2.628,44.0373,-68.88748,1.7,6.13,11.7,754.1,3,
8/25/20,10:00:57,0,HI index site,2.83,3.48,41487.6,2.673,52021.4,107.8,110.9,8.83,3.896,33.67,51245,-0.25,9.99,33309,1.206,8.17,-66.5,15.031,2.682,44.0373,-68.88748,1.7,6.13,11.7,754,3,
8/25/20,10:00:58,0,HI index site,2.83,3.37,41487,2.698,52023.2,107.7,110.8,8.83,3.934,33.68,51246.6,-0.25,10.15,33310,1.206,8.17,-66.6,15.029,2.729,44.0373,-68.88748,2.6,6.13,11.7,754.1,3,
8/25/20,10:00:59,0,HI index site,2.83,3.66,41486.3,2.713,52024.6,107.7,110.8,8.83,3.954,33.68,51247.9,-0.24,9.76,33311,1.206,8.17,-66.6,15.027,2.723,44.0373,-68.88749,2.6,6.13,11.7,753.9,3,
8/25/20,10:01:00,0,HI index site,2.83,2.39,41485.8,2.723,52026.2,107.6,110.8,8.82,3.97,33.68,51249.4,-0.24,8.75,33312,1.206,8.17,-66.6,15.026,2.754,44.0373,-68.88749,2.4,6.13,11.7,754,3,
8/25/20,10:01:01,0,HI index site,2.84,3.49,41485,2.733,52027,107.6,110.8,8.82,3.984,33.68,51250.1,-0.25,10.15,33313,1.206,8.17,-66.7,15.024,2.772,44.0373,-68.88749,2.3,6.13,11.7,754.1,3,
8/25/20,10:01:02,0,HI index site,2.86,2.58,41484.6,2.744,52028.2,107.6,110.7,8.82,4.001,33.68,51251.3,-0.25,8.93,33313,1.206,8.17,-66.7,15.023,2.799,44.0373,-68.8875,1.8,6.13,11.7,754.1,3,
8/25/20,10:01:03,0,HI index site,2.81,2.67,41484.4,2.755,52029.4,107.6,110.7,8.82,4.017,33.68,51252.3,-0.25,9.86,33314,1.206,8.17,-66.7,15.022,2.836,44.0373,-68.8875,2,6.13,11.7,754,3,
8/25/20,10:01:04,0,HI index site,2.79,2.99,41483.9,2.765,52030.2,107.6,110.7,8.82,4.031,33.68,51253.1,-0.26,12.47,33314,1.206,8.17,-66.8,15.021,2.825,44.0373,-68.8875,1.9,6.13,11.7,754.1,3,
8/25/20,10:01:05,0,HI index site,2.76,3.89,41483.4,2.778,52030.9,107.6,110.7,8.82,4.05,33.68,51253.7,-0.26,12.35,33315,1.206,8.17,-66.8,15.02,2.87,44.0373,-68.8875,2.3,6.13,11.7,754,3,
8/25/20,10:01:06,0,HI index site,2.98,3.46,41482.9,2.789,52031.5,107.6,110.7,8.82,4.066,33.68,51254.3,-0.27,8.73,33315,1.206,8.17,-66.8,15.019,2.898,44.0373,-68.8875,2.6,6.13,11.7,754,3,
8/25/20,10:01:07,0,HI index site,2.97,3.43,41483,2.8,52032.8,107.6,110.7,8.82,4.081,33.68,51255.5,-0.28,10.97,33316,1.206,8.17,-66.9,15.018,2.899,44.0373,-68.8875,2.7,6.13,11.7,753.9,3,
8/25/20,10:01:08,0,HI index site,2.94,3.44,41482.2,2.811,52033,107.6,110.7,8.82,4.097,33.68,51255.7,-0.28,10.99,33316,1.206,8.17,-66.9,15.017,2.945,44.0373,-68.8875,2.8,6.13,11.7,754,3,
8/25/20,10:01:09,0,HI index site,2.89,3.5,41481.4,2.823,52033.1,107.6,110.7,8.82,4.115,33.68,51255.7,-0.28,10.05,33316,1.206,8.17,-66.9,15.016,2.975,44.0373,-68.8875,3.2,6.13,11.7,754.1,3,
8/25/20,10:01:10,0,HI index site,3.24,3.46,41480.5,2.838,52033.1,107.6,110.7,8.82,4.137,33.68,51255.7,-0.29,14.26,33316,1.206,8.17,-67,15.015,3.003,44.0373,-68.8875,3.2,6.13,11.7,754.1,3,
8/25/20,10:01:11,0,HI index site,2.76,3.45,41479.6,2.851,52033.2,107.6,110.7,8.82,4.155,33.68,51255.7,-0.29,10.19,33316,1.206,8.17,-67,15.014,3.047,44.0373,-68.8875,3.2,6.13,11.7,754.1,3,
8/25/20,10:01:12,0,HI index site,2.31,3.53,41479,2.865,52033.8,107.6,110.7,8.82,4.176,33.68,51256.3,-0.3,9.76,33317,1.206,8.17,-67,15.013,3.097,44.0373,-68.8875,3,6.13,11.7,754.1,3,
8/25/20,10:01:13,0,HI index site,2.24,2.64,41478.5,2.88,52034.5,107.6,110.7,8.82,4.199,33.68,51256.9,-0.3,9.08,33317,1.206,8.17,-67,15.012,3.126,44.0373,-68.8875,2.9,6.13,11.7,754.1,3,
8/25/20,10:01:14,0,HI index site,2.94,3.23,41477.8,2.898,52035,107.6,110.7,8.82,4.225,33.68,51257.4,-0.3,8.4,33317,1.206,8.18,-67,15.011,3.17,44.0373,-68.8875,2.8,6.13,11.7,754,3,
8/25/20,10:01:15,0,HI index site,2.95,3.04,41477.4,2.913,52035.7,107.6,110.7,8.82,4.247,33.68,51258.1,-0.3,12.61,33318,1.206,8.18,-67.1,15.01,3.195,44.0373,-68.8875,2.7,6.13,11.7,754.1,3,
8/25/20,10:01:16,0,HI index site,2.43,3.42,41476.7,2.929,52036.6,107.6,110.7,8.82,4.27,33.68,51258.9,-0.3,11.49,33318,1.206,8.18,-67.1,15.008,3.255,44.0373,-68.88751,2.7,6.13,11.7,754.1,3,
8/25/20,10:01:17,0,HI index site,1.96,3.34,41476.3,2.946,52037.7,107.5,110.7,8.82,4.295,33.68,51259.9,-0.3,9.94,33319,1.206,8.18,-67.1,15.007,3.291,44.0373,-68.88751,2.7,6.13,11.7,754,3,
8/25/20,10:01:18,0,HI index site,2.38,3.19,41476,2.966,52038.7,107.5,110.7,8.82,4.323,33.69,51260.8,-0.3,8.88,33320,1.206,8.18,-67.1,15.006,3.321,44.0373,-68.88751,2.6,6.13,11.7,754,3,
8/25/20,10:01:19,0,HI index site,2.48,2.76,41475.8,2.982,52039.6,107.5,110.6,8.82,4.347,33.69,51261.6,-0.3,8.9,33320,1.206,8.18,-67.1,15.005,3.366,44.0373,-68.88751,2.5,6.13,11.7,754,3,
8/25/20,10:01:20,0,HI index site,3.37,3.3,41474.7,2.998,52039.9,107.5,110.6,8.81,4.371,33.69,51261.8,-0.28,9.63,33320,1.206,8.18,-67.1,15.004,3.377,44.03729,-68.88751,2.3,6.13,11.7,753.9,3,
8/25/20,10:01:21,0,HI index site,2.43,2.53,41474.5,3.014,52040.9,107.5,110.6,8.81,4.394,33.69,51262.9,-0.28,12.21,33321,1.206,8.18,-67.1,15.003,3.426,44.0373,-68.88751,2.5,6.13,11.7,754,3,
8/25/20,10:01:22,0,HI index site,3.23,3.18,41474.6,3.037,52042.8,107.4,110.6,8.81,4.427,33.69,51264.6,-0.28,11.29,33322,1.206,8.18,-67.1,15.002,3.461,44.0373,-68.88751,2.4,6.13,11.7,754,3,
8/25/20,10:01:23,0,HI index site,2.29,3.68,41474.8,3.05,52043.6,107.4,110.6,8.81,4.446,33.69,51265.4,-0.27,11.83,33323,1.206,8.18,-67.1,15.001,3.498,44.0373,-68.88752,2.5,6.13,11.7,754.1,3,
8/25/20,10:01:24,0,HI index site,2.72,3,41475,3.067,52044.7,107.4,110.5,8.81,4.47,33.69,51266.4,-0.27,8.07,33323,1.206,8.18,-67.1,15.001,3.547,44.0373,-68.88752,2.6,6.13,11.7,754.1,3,
8/25/20,10:01:25,0,HI index site,2.73,2.97,41475.8,3.084,52046.3,107.4,110.5,8.81,4.495,33.69,51268,-0.27,11.44,33324,1.206,8.18,-67,15,3.568,44.0373,-68.88752,2.6,6.13,11.7,754.1,3,
8/25/20,10:01:26,0,HI index site,3.52,2.97,41475.5,3.103,52046.3,107.4,110.5,8.81,4.524,33.69,51268,-0.28,8.3,33324,1.206,8.18,-67,15,3.597,44.0373,-68.88752,2.6,6.13,11.7,754.1,3,
8/25/20,10:01:27,0,HI index site,2.6,2.97,41475.3,3.12,52046.5,107.4,110.5,8.81,4.548,33.69,51268.1,-0.29,10.27,33324,1.206,8.17,-67,14.999,3.639,44.0373,-68.88753,2.6,6.13,11.7,754.1,3,
8/25/20,10:01:28,0,HI index site,2.6,3.06,41475.8,3.136,52047.1,107.3,110.5,8.8,4.572,33.69,51268.8,-0.29,10.13,33325,1.206,8.17,-67,14.999,3.676,44.0373,-68.88753,2.6,6.13,11.7,754,3,
8/25/20,10:01:29,0,HI index site,2.72,2.55,41475.7,3.153,52047.4,107.3,110.5,8.8,4.596,33.69,51269,-0.29,9.76,33325,1.206,8.17,-67,14.999,3.698,44.0373,-68.88753,2.6,6.13,11.7,754.1,3,
8/25/20,10:01:30,0,HI index site,2.57,3.22,41475.9,3.169,52047.5,107.3,110.4,8.8,4.62,33.69,51269.1,-0.29,9.57,33325,1.206,8.17,-67,14.999,3.712,44.0373,-68.88753,2.6,6.13,11.7,754,3,
8/25/20,10:01:31,0,HI index site,2.57,2.91,41475.4,3.188,52046.8,107.3,110.4,8.8,4.647,33.69,51268.4,-0.29,9.6,33324,1.206,8.17,-67,14.999,3.751,44.0373,-68.88753,2.6,6.13,11.7,754.1,3,
8/25/20,10:01:32,0,HI index site,2.58,4.82,41475.4,3.203,52047,107.3,110.4,8.8,4.669,33.69,51268.6,-0.29,9.59,33325,1.206,8.17,-67,14.999,3.743,44.0373,-68.88754,2.5,6.13,11.7,754,3,
8/25/20,10:01:33,0,HI index site,2.62,4.03,41476,3.218,52047.7,107.3,110.4,8.8,4.691,33.69,51269.3,-0.29,9.53,33325,1.206,8.17,-67,14.999,3.797,44.0373,-68.88754,2.6,6.13,11.7,754,3,
8/25/20,10:01:34,0,HI index site,2.67,3.4,41476.2,3.233,52047.8,107.3,110.4,8.8,4.713,33.69,51269.5,-0.29,9.52,33325,1.206,8.17,-67,14.999,3.79,44.0373,-68.88754,2.4,6.13,11.7,753.9,3,
8/25/20,10:01:35,0,HI index site,2.65,3.4,41475.8,3.259,52046.8,107.3,110.4,8.8,4.751,33.69,51268.5,-0.29,9.49,33325,1.206,8.17,-67,15,3.833,44.0373,-68.88754,2.5,6.13,11.7,754,3,
8/25/20,10:01:36,0,HI index site,2.64,2.65,41475.2,3.299,52045.9,107.3,110.4,8.8,4.809,33.69,51267.6,-0.28,9.45,33324,1.206,8.17,-67,15,3.881,44.0373,-68.88754,2.4,6.13,11.7,754,3,
