Year,Month,Week,Date,DMR_Mangemant_Area,Site,GearID,Gear_Type,,Level_Position,Sex,Shell_Height,Total_Viscera_Weight,Meat_Weight,Gonad_Weight,Shell_Weight,Meat_Color,GSI,Notes,(X-碌)^2
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,F,85,37.59,10.61,2.75,33.8,NA,7.316,,1.638
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,M,85,43.43,13.55,3.56,41.62,NA,8.197,,0.159
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,M,80,25.47,8.23,1.82,37.34,NA,7.146,,2.102
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,F,77,28.1,9.92,0.93,32.53,NA,3.31,,27.941
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,12,Cage,NA,BL,M,82,38.02,10.92,4.17,39.05,NA,10.968,,5.628
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,13,Cage,NA,BR,F,89,45.21,14.57,7.11,44.59,NA,15.727,,50.853
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,M,87,34.78,11.01,1.99,45.76,NA,5.722,,8.259
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,F,86,41.92,13.6,3.04,40.6,NA,7.252,,1.805
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,M,85,45.9,14.02,6.11,43.03,NA,13.312,,22.241
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,F,88,49.52,15.82,3.47,46.4,NA,7.007,,2.522
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,1,M,77,31.82,10.33,3.6,33.75,NA,11.314,,0.472
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,2,M,90,48.35,16.64,8.03,56.6,NA,16.608,,21.229
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,3,F,75,37.42,10.72,5.63,37.24,NA,15.045,,9.271
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,4,F,89,56.74,19.37,5.26,50.24,NA,9.27,,7.454
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,5,M,70,26.13,7.44,4.42,33.52,NA,16.915,,24.156
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,6,M,87,29.46,9.57,0.9,37.5,NA,3.055,,80.023
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,7,F,79,35.27,12.41,6.04,41.06,NA,17.125,,26.261
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,8,F,102,65.43,20.56,6.34,68.7,NA,9.69,,5.34
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,9,M,75,28.69,9.11,3.39,34.08,NA,11.816,,0.034
2019,7,28,2019-07-10,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,10,F,91,54,19.02,4.95,51.98,NA,9.167,,8.031
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,1,F,75,36.03,12.92,5.17,39.24,NA,14.349,,1.335
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,2,F,88.5,50.65,16.25,4.58,43.52,NA,9.042,,17.232
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,3,M,81,46.91,13.15,9.8,44.11,NA,20.891,,59.251
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,4,M,100,66.82,21.7,7.29,62.87,NA,10.91,,5.215
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,5,F,80.5,41.32,11.83,6.75,38.63,NA,16.336,,9.874
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,6,F,89.5,55.34,17.46,4.6,49.11,NA,8.312,,23.828
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,7,M,76,43.27,13.4,8.72,35.1,NA,20.153,,48.426
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,8,M,87,53.66,16.55,7.15,42.64,NA,13.325,,0.017
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,9,F,82,55.47,18.87,5.66,42.07,NA,10.204,,8.94
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,10,M,91,42.07,12.43,3.54,41.88,NA,8.415,,22.84
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,M,90.5,52.55,16.73,4.51,45.3,NA,8.582,,8.677
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,F,85,46.58,16.48,6.46,43.61,NA,13.869,,5.479
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,M,83,44.68,16.02,6.22,53.04,NA,13.921,,5.728
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,F,65,17.06,4.88,1.37,21.96,NA,8.03,,12.232
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,M,75,31.38,9.21,6.68,41.7,NA,21.287,,95.248
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,F,80,33.75,11.68,2.64,44.53,NA,7.822,,13.732
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,M,94,53.23,15.82,4.46,54.35,NA,8.379,,9.917
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,F,94,56.44,20.77,4.88,51.47,NA,8.646,,8.303
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,13,Cage,NA,BR,F,90,52.81,16.16,7.79,64.58,NA,14.751,,10.388
2019,7,29,2019-07-16,Lower_Penobscot_Bay,HI,12,Cage,NA,BL,M,83,33.03,10.79,3.3,44.15,NA,9.991,,2.362
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,1,M,76,47.2,12.47,9.99,52.33,NA,21.165,shell wasn't scraped,37.694
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,2,M,87,57.42,17.19,8.78,52.8,NA,15.291,shell wasn't scraped,0.07
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,3,F,65.5,34.56,9.64,7.05,38.49,NA,20.399,shell wasn't scraped,28.875
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,4,F,88,61.76,19.52,8.39,50.91,NA,13.585,,2.076
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,5,M,68,28.7,10.12,2.16,32.81,NA,7.526,,56.244
