HIDistant_Sonde
Date,Time,Time (Fract. Sec),Site,Chlorophyll RFU,Chlorophyll RFU,Cond µS/cm,Depth,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,Depth Round
7/14/20,15:19:32,0,hurricane island far,0.03,0.15,1870.2,0.069,2120,91.4,94,8.37,0.098,1.08,2099.1,0.54,1.18,1364,1.206,NA,NA,19.29,0.014,44.03858,-68.9165,3.4,6.26,11.7,761.2,0
7/14/20,15:19:33,0,hurricane island far,0.04,0.12,1870.1,0.069,2120.1,91.4,94.1,8.38,0.098,1.08,2099.2,0.47,1.18,1365,1.206,NA,NA,19.286,0.083,44.03858,-68.9165,4,6.26,11.7,761.3,0
7/14/20,15:19:34,0,hurricane island far,0.04,0.08,1870.1,0.069,2120.2,91.4,94.1,8.38,0.099,1.08,2099.3,0.38,1.18,1365,1.206,NA,NA,19.281,0.085,44.03859,-68.9165,4.3,6.26,11.7,761.3,0
7/14/20,15:19:35,0,hurricane island far,0.04,0.05,1870.1,0.069,2120.5,91.4,94.1,8.38,0.099,1.08,2099.6,0.29,1.19,1365,1.206,NA,NA,19.277,0.081,44.03858,-68.9165,4.9,6.26,11.6,761.3,0
7/14/20,15:19:36,0,hurricane island far,0.04,0.02,1870.1,0.07,2120.6,91.5,94.1,8.38,0.099,1.08,2099.7,0.19,1.18,1365,1.206,NA,NA,19.273,0.088,44.03858,-68.9165,5,6.26,11.6,761.3,0
7/14/20,15:19:37,0,hurricane island far,0.04,0,1870,0.07,2120.8,91.5,94.1,8.39,0.1,1.08,2099.8,0.09,1.18,1365,1.206,NA,NA,19.27,0.093,44.03859,-68.9165,5.3,6.26,11.6,761.3,0
7/14/20,15:19:38,0,hurricane island far,0.04,-0.03,1870,0.07,2120.9,91.5,94.2,8.39,0.1,1.08,2099.9,0.01,1.17,1365,1.206,NA,NA,19.267,0.069,44.03859,-68.9165,5.4,6.26,11.6,761.3,0
7/14/20,15:19:39,0,hurricane island far,0.04,-0.05,1870,0.069,2121,91.5,94.2,8.39,0.098,1.08,2100,-0.07,1.12,1365,1.206,NA,NA,19.264,0.049,44.03859,-68.91651,4.9,6.26,11.6,761.3,0
7/14/20,15:19:40,0,hurricane island far,0.03,-0.06,1869.9,0.066,2121,91.5,94.2,8.39,0.094,1.08,2100.1,-0.14,1.08,1365,1.206,NA,NA,19.261,-0.061,44.03859,-68.91651,4.9,6.26,11.6,761.3,0
7/14/20,15:19:41,0,hurricane island far,0.03,-0.05,1869.7,0.068,2120.9,91.5,94.2,8.39,0.096,1.08,2100,-0.22,1.03,1365,1.206,NA,NA,19.259,0.205,44.0386,-68.91651,5.1,6.26,11.6,761.3,0
7/14/20,15:19:42,0,hurricane island far,0.04,-0.03,1869.6,0.073,2120.9,91.6,94.2,8.4,0.103,1.08,2099.9,-0.3,1.01,1365,1.206,NA,NA,19.256,0.202,44.0386,-68.91652,4.7,6.26,11.6,761.2,0
7/14/20,15:19:43,0,hurricane island far,0.04,-0.01,5.1,0.07,5.7,91.6,94.2,8.44,0.099,0,5.7,-0.32,1.05,4,1.206,NA,NA,19.254,0.014,44.0386,-68.91652,4.6,6.26,11.6,761.3,0
7/14/20,15:19:44,0,hurricane island far,0.04,0.03,3.7,0.068,4.2,91.6,94.3,8.45,0.097,0,4.1,-0.31,1.11,3,1.206,NA,NA,19.252,0.018,44.0386,-68.91653,4.2,6.26,11.6,761.3,0
7/14/20,15:19:45,0,hurricane island far,0.04,0.07,3.2,0.067,3.6,91.6,94.3,8.46,0.095,0,3.6,-0.3,1.17,2,1.206,NA,NA,19.25,0.02,44.0386,-68.91653,4.1,6.26,11.7,761.3,0
7/14/20,15:19:46,0,hurricane island far,0.05,0.08,3.1,0.065,3.5,91.7,94.3,8.46,0.093,0,3.4,-0.3,1.2,2,1.206,NA,NA,19.247,0.02,44.03861,-68.91653,4.3,6.26,11.7,761.3,0
7/14/20,15:19:47,0,hurricane island far,0.05,0.12,3,0.064,3.4,91.7,94.4,8.47,0.09,0,3.3,-0.29,1.23,2,1.206,NA,NA,19.245,0.018,44.03861,-68.91653,4.1,6.26,11.7,761.3,0
7/14/20,15:19:48,0,hurricane island far,0.06,0.15,2.8,0.063,3.2,91.8,94.4,8.47,0.089,0,3.2,-0.27,1.29,2,1.206,NA,NA,19.241,0.018,44.03862,-68.91653,3.9,6.26,11.7,761.3,0
7/14/20,15:19:49,0,hurricane island far,0.06,0.17,2.7,0.061,3.1,91.8,94.5,8.47,0.087,0,3.1,-0.19,1.36,2,1.206,NA,NA,19.235,0.019,44.03862,-68.91654,3.6,6.26,11.7,761.3,0
7/14/20,15:19:50,0,hurricane island far,0.06,0.19,2.7,0.06,3.1,91.8,94.5,8.48,0.085,0,3,-0.11,1.42,2,1.206,NA,NA,19.228,0.02,44.03862,-68.91654,3.7,6.26,11.7,761.4,0
7/14/20,15:19:51,0,hurricane island far,0.07,0.2,2.6,0.058,3,91.9,94.5,8.48,0.082,0,3,-0.03,1.52,2,1.206,NA,NA,19.22,0.021,44.03862,-68.91655,3.5,6.26,11.7,761.3,0
7/14/20,15:19:52,0,hurricane island far,0.07,0.23,2.6,0.056,3,91.9,94.6,8.49,0.08,0,2.9,0.07,1.61,2,1.206,NA,NA,19.209,0.021,44.03862,-68.91655,3.7,6.26,11.7,761.3,0
7/14/20,15:19:53,0,hurricane island far,0.07,0.24,2.6,0.055,2.9,91.9,94.6,8.49,0.079,0,2.9,0.17,1.69,2,1.206,NA,NA,19.198,0.019,44.03862,-68.91656,3.8,6.26,11.7,761.3,0
7/14/20,15:19:54,0,hurricane island far,0.08,0.24,2.5,0.054,2.9,92,94.6,8.5,0.076,0,2.9,0.25,1.79,2,1.206,NA,NA,19.184,0.018,44.03863,-68.91656,3.9,6.26,11.7,761.3,0
7/14/20,15:19:55,0,hurricane island far,0.08,0.23,2.5,0.052,2.8,92,94.6,8.5,0.074,0,2.8,0.34,1.87,2,1.206,NA,NA,19.17,0.022,44.03863,-68.91656,3.9,6.26,11.7,761.3,0
7/14/20,15:19:56,0,hurricane island far,0.08,0.23,2.4,0.051,2.7,92,94.6,8.5,0.072,0,2.7,0.43,1.98,2,1.206,NA,NA,19.152,0.022,44.03863,-68.91656,4.4,6.26,11.7,761.3,0
7/14/20,15:19:57,0,hurricane island far,0.08,0.24,2.3,0.049,2.7,92,94.6,8.51,0.07,0,2.6,0.52,2.06,2,1.206,NA,NA,19.136,0.021,44.03863,-68.91656,4.6,6.26,11.7,761.3,0
7/14/20,15:19:58,0,hurricane island far,0.08,0.22,2.3,0.047,2.6,92,94.7,8.51,0.067,0,2.6,0.6,2.14,2,1.206,NA,NA,19.116,0.02,44.03863,-68.91656,4.4,6.26,11.7,761.3,0
7/14/20,15:19:59,0,hurricane island far,0.07,0.24,2.2,0.047,2.5,92,94.7,8.52,0.066,0,2.5,0.67,2.21,2,1.206,NA,NA,19.097,0.019,44.03864,-68.91656,4.1,6.26,11.7,761.2,0
7/14/20,15:20:00,0,hurricane island far,0.08,0.23,2.1,0.045,2.4,92,94.7,8.52,0.064,0,2.4,0.75,2.29,2,1.206,NA,NA,19.074,0.021,44.03864,-68.91657,4.2,6.26,11.7,761.3,0
7/14/20,15:20:01,0,hurricane island far,0.07,0.24,2.1,0.043,2.4,92.1,94.8,8.54,0.062,0,2.3,0.79,2.33,2,1.206,NA,NA,19.05,0.02,44.03864,-68.91657,4.1,6.26,11.7,761.3,0
7/14/20,15:20:02,0,hurricane island far,0.09,0.23,2,0.042,2.3,92.2,94.9,8.55,0.059,0,2.3,0.81,2.32,1,1.206,NA,NA,19.029,0.02,44.03864,-68.91658,4,6.26,11.7,761.3,0
7/14/20,15:20:03,0,hurricane island far,0.09,0.25,2,0.04,2.3,84.1,86.5,7.8,0.057,0,2.2,0.78,2.37,1,1.206,NA,NA,19.008,0.02,44.03864,-68.91658,3.8,6.26,11.7,761.3,0
7/14/20,15:20:04,0,hurricane island far,0.17,0.34,2,0.041,2.3,86.6,89.1,8.03,0.059,0,2.3,0.71,2.5,1,1.206,NA,NA,17.69,0.111,44.03865,-68.91658,3.7,6.26,11.7,761.3,0
7/14/20,15:20:05,0,hurricane island far,0.28,0.44,40252.1,0.045,48173.6,92.2,94.9,8.87,0.066,31.01,47551.9,0.66,5.83,30909,1.206,NA,NA,16.963,0.266,44.03865,-68.91659,3.8,6.26,11.7,761.3,0
7/14/20,15:20:06,0,hurricane island far,0.4,0.58,40414.4,0.053,49079.4,94.9,97.7,7.65,0.077,31.63,48412,0.61,5.93,31468,1.206,NA,NA,16.351,0.396,44.03865,-68.91659,4.1,6.26,11.7,761.3,0
7/14/20,15:20:07,0,hurricane island far,0.53,0.71,40238.6,0.062,49202.2,96.8,99.6,7.85,0.091,31.7,48518,0.57,6.12,31537,1.206,NA,NA,16.066,0.365,44.03865,-68.9166,4.3,6.26,11.7,761.3,0
7/14/20,15:20:08,0,hurricane island far,0.66,0.85,40321.5,0.072,49499.4,98.6,101.4,8.02,0.105,31.91,48802.5,0.51,6.13,31722,1.206,NA,NA,15.901,0.348,44.03866,-68.9166,3.7,6.26,11.7,761.3,0
7/14/20,15:20:09,0,hurricane island far,0.78,1,40276,0.082,49653.1,103,106,8.41,0.12,32.01,48945.2,0.47,6.12,31814,1.206,NA,NA,15.706,0.366,44.03866,-68.9166,3.4,6.26,11.7,761.3,0
7/14/20,15:20:10,0,hurricane island far,0.91,1.12,40260,0.09,49802.1,104.9,108,8.58,0.131,32.11,49085.1,0.43,6.09,31905,1.206,NA,NA,15.587,0.306,44.03867,-68.9166,3.1,6.26,11.7,761.3,0
7/14/20,15:20:11,0,hurricane island far,1.03,1.28,40247.8,0.097,49902.4,106.4,109.5,8.71,0.141,32.17,49179.3,0.38,5.96,31967,1.206,NA,NA,15.479,0.362,44.03867,-68.91661,3.2,6.26,11.7,761.3,0
7/14/20,15:20:12,0,hurricane island far,1.16,1.39,40244.6,0.105,50012.8,107.3,110.4,8.8,0.152,32.25,49283.5,0.32,5.95,32034,1.206,NA,NA,15.398,0.343,44.03867,-68.91661,2.9,6.26,11.7,761.3,0
7/14/20,15:20:13,0,hurricane island far,1.27,1.52,40238.3,0.112,50090.5,107.9,111.1,8.87,0.164,32.3,49356.7,0.28,5.97,32082,1.206,NA,NA,15.318,0.363,44.03867,-68.91662,2.9,6.26,11.7,761.3,0
7/14/20,15:20:14,0,hurricane island far,1.29,1.56,40235.6,0.12,50172.3,108.7,111.8,8.94,0.174,32.36,49434,0.24,6,32132,1.206,NA,NA,15.258,0.378,44.03867,-68.91663,3.1,6.26,11.7,761.3,0
7/14/20,15:20:15,0,hurricane island far,1.32,1.6,40232.1,0.126,50233.4,109.2,112.4,8.99,0.184,32.4,49491.6,0.19,6.01,32170,1.206,NA,NA,15.198,0.338,44.03867,-68.91663,3.2,6.26,11.7,761.3,0
7/14/20,15:20:16,0,hurricane island far,1.33,1.62,40226.4,0.135,50292.1,109.7,112.9,9.04,0.197,32.44,49547,0.13,6.07,32206,1.206,NA,NA,15.151,0.364,44.03868,-68.91663,3.1,6.26,11.7,761.3,0
7/14/20,15:20:17,0,hurricane island far,1.35,1.6,40224.5,0.143,50341.2,110.2,113.4,9.08,0.209,32.47,49593.4,0.09,6.08,32236,1.206,NA,NA,15.104,0.35,44.03868,-68.91663,2.8,6.26,11.7,761.3,0
7/14/20,15:20:18,0,hurricane island far,1.35,1.59,40224.1,0.154,50393.2,110.7,113.9,9.13,0.225,32.5,49642.6,0.02,6.13,32268,1.206,NA,NA,15.067,0.374,44.03868,-68.91663,2.6,6.26,11.7,761.3,0
7/14/20,15:20:19,0,hurricane island far,1.34,1.57,40223.4,0.157,50433.8,111.1,114.3,9.17,0.229,32.53,49681.1,-0.05,6.11,32293,1.206,NA,NA,15.029,0.363,44.03869,-68.91664,2.5,6.26,11.7,761.3,0
7/14/20,15:20:20,0,hurricane island far,1.34,1.56,40221.3,0.161,50473.8,114.8,118.1,9.48,0.234,32.56,49718.9,-0.12,6.15,32317,1.206,NA,NA,14.999,0.371,44.03869,-68.91665,2.2,6.26,11.7,761.3,0
7/14/20,15:20:21,0,hurricane island far,1.33,1.54,40219,0.172,50569.7,115.4,118.7,9.54,0.251,32.62,49809.8,-0.18,6.17,32376,1.206,NA,NA,14.908,0.408,44.03869,-68.91665,2.1,6.26,11.7,761.3,0
7/14/20,15:20:22,0,hurricane island far,1.79,1.52,40213.9,0.182,50663.8,115.8,119.2,9.58,0.265,32.68,49898.9,-0.2,6.19,32434,1.206,NA,NA,14.838,0.411,44.0387,-68.91666,2.1,6.26,11.7,761.3,0
7/14/20,15:20:23,0,hurricane island far,1.34,1.49,40210,0.192,50730.2,116.3,119.7,9.63,0.279,32.73,49961.7,-0.21,6.23,32475,1.206,NA,NA,14.774,0.396,44.0387,-68.91666,2.1,6.26,11.7,761.3,0
7/14/20,15:20:24,0,hurricane island far,1.13,1.44,40208,0.201,50793.7,116.6,120,9.67,0.293,32.77,50021.9,-0.25,6.2,32514,1.206,NA,NA,14.728,0.391,44.0387,-68.91666,2.2,6.26,11.7,761.3,0
7/14/20,15:20:25,0,hurricane island far,1.3,1.44,40206.2,0.212,50837.6,116.9,120.3,9.69,0.309,32.8,50063.5,-0.28,6.21,32541,1.206,NA,NA,14.687,0.369,44.03871,-68.91666,2.2,6.26,11.7,761.3,0
7/14/20,15:20:26,0,hurricane island far,1.3,1.43,40206.1,0.222,50881,117.1,120.5,9.72,0.323,32.83,50104.7,-0.32,6.23,32568,1.206,NA,NA,14.657,0.388,44.03871,-68.91667,1.5,6.26,11.7,761.3,0
7/14/20,15:20:27,0,hurricane island far,1.3,1.4,40205.3,0.232,50910.9,117.2,120.7,9.74,0.338,32.85,50133,-0.36,6.24,32586,1.206,NA,NA,14.629,0.424,44.03872,-68.91667,1.9,6.26,11.7,761.3,0
7/14/20,15:20:28,0,hurricane island far,1.31,1.41,40206.1,0.242,50941.3,117.4,120.8,9.75,0.352,32.87,50162,-0.4,6.26,32605,1.206,NA,NA,14.609,0.4,44.03872,-68.91668,2,6.26,11.7,761.3,0
7/14/20,15:20:29,0,hurricane island far,1.31,1.39,40205.8,0.252,50962.3,117.6,121,9.77,0.367,32.89,50182,-0.44,6.24,32618,1.206,NA,NA,14.589,0.437,44.03872,-68.91669,2.2,6.26,11.7,761.3,0
7/14/20,15:20:30,0,hurricane island far,1.31,1.4,40204,0.264,50981.4,117.7,121.1,9.78,0.385,32.9,50200,-0.48,6.33,32630,1.206,NA,NA,14.575,0.421,44.03872,-68.91669,2.1,6.26,11.7,761.3,0
7/14/20,15:20:31,0,hurricane island far,1.31,1.4,40201.5,0.275,50994.8,117.8,121.3,9.8,0.401,32.91,50212.6,-0.5,6.34,32638,1.206,NA,NA,14.56,0.429,44.03872,-68.91669,2.1,6.26,11.7,761.4,0
7/14/20,15:20:32,0,hurricane island far,1.33,1.42,40197.8,0.285,51006.1,117.9,121.4,9.81,0.416,32.91,50223.2,-0.52,6.37,32645,1.206,NA,NA,14.549,0.427,44.03873,-68.9167,2.3,6.26,11.7,761.2,0
7/14/20,15:20:33,0,hurricane island far,1.33,1.43,40196,0.296,51016.5,118.1,121.5,9.82,0.431,32.92,50233.1,-0.54,6.39,32652,1.206,NA,NA,14.537,0.43,44.03873,-68.9167,2.3,6.26,11.7,761.4,0
7/14/20,15:20:34,0,hurricane island far,1.34,1.47,40196,0.308,51028.7,118.2,121.6,9.83,0.449,32.93,50244.7,-0.54,6.43,32659,1.206,NA,NA,14.529,0.426,44.03873,-68.91671,2.3,6.26,11.7,761.3,0
7/14/20,15:20:35,0,hurricane island far,1.35,1.51,40196.7,0.319,51038.8,118.3,121.7,9.84,0.465,32.94,50254.3,-0.54,6.46,32665,1.206,NA,NA,14.521,0.434,44.03873,-68.91671,2.1,6.26,11.7,761.3,0
7/14/20,15:20:36,0,hurricane island far,1.34,1.54,40198.4,0.329,51050.4,118.4,121.9,9.85,0.479,32.94,50265.3,-0.54,6.43,32672,1.206,NA,NA,14.514,0.411,44.03874,-68.91672,2,6.26,11.7,761.5,0
7/14/20,15:20:37,0,hurricane island far,1.35,1.57,40197.7,0.339,51057.1,118.7,122.1,9.87,0.494,32.95,50271.7,-0.52,6.43,32677,1.206,NA,NA,14.507,0.424,44.03874,-68.91673,1.9,6.26,11.7,761.4,0
7/14/20,15:20:38,0,hurricane island far,1.35,1.61,40199.1,0.35,51066.6,118.9,122.3,9.89,0.51,32.95,50280.9,-0.5,6.44,32683,1.206,NA,NA,14.502,0.448,44.03875,-68.91673,2.1,6.26,11.7,761.3,0
7/14/20,15:20:39,0,hurricane island far,1.37,1.63,40199.4,0.363,51073.1,119.1,122.6,9.91,0.529,32.96,50287,-0.46,6.44,32687,1.206,NA,NA,14.497,0.446,44.03875,-68.91673,2.3,6.26,11.7,761.3,0
7/14/20,15:20:40,0,hurricane island far,1.38,1.69,40197.5,0.374,51076.9,119.3,122.8,9.93,0.545,32.96,50290.5,-0.43,6.47,32689,1.206,NA,NA,14.492,0.446,44.03875,-68.91673,2.3,6.26,11.7,761.3,0
7/14/20,15:20:41,0,hurricane island far,1.38,1.71,40196,0.385,51080,119.5,123,9.94,0.56,32.96,50293.4,-0.39,6.45,32691,1.206,NA,NA,14.488,0.441,44.03875,-68.91674,2.4,6.26,11.7,761.3,0
7/14/20,15:20:42,0,hurricane island far,1.39,1.72,40196.4,0.393,51086,119.6,123.1,9.96,0.573,32.97,50299.2,-0.34,6.43,32694,1.206,NA,NA,14.484,0.441,44.03876,-68.91674,2.4,6.26,11.7,761.3,0
7/14/20,15:20:43,0,hurricane island far,1.37,1.73,40196.8,0.398,51089.8,119.8,123.3,9.97,0.58,32.97,50302.8,-0.29,6.46,32697,1.206,NA,NA,14.481,0.443,44.03876,-68.91675,2.4,6.26,11.7,761.4,0
7/14/20,15:20:44,0,hurricane island far,1.39,1.73,40195.2,0.399,51090.5,120,123.5,9.99,0.582,32.97,50303.3,-0.25,6.5,32697,1.206,NA,NA,14.479,0.446,44.03876,-68.91675,2.5,6.26,11.7,761.4,0
7/14/20,15:20:45,0,hurricane island far,1.38,1.72,40194.5,0.4,51092.5,120.1,123.6,10,0.583,32.97,50305.2,-0.22,6.49,32698,1.206,NA,NA,14.477,0.432,44.03876,-68.91676,2.7,6.26,11.7,761.3,0
7/14/20,15:20:46,0,hurricane island far,1.39,1.7,40190.8,0.402,51091.4,120.2,123.7,10.01,0.586,32.97,50304.1,-0.19,6.51,32698,1.206,NA,NA,14.474,0.442,44.03877,-68.91676,2.9,6.26,11.7,761.3,0
7/14/20,15:20:47,0,hurricane island far,1.39,1.67,40188.7,0.404,51092.6,120.4,123.9,10.02,0.589,32.97,50305.1,-0.17,6.55,32698,1.206,NA,NA,14.471,0.41,44.03877,-68.91676,2.7,6.26,11.7,761.3,0
7/14/20,15:20:48,0,hurricane island far,1.39,1.65,40184.9,0.407,51093.1,120.5,124,10.03,0.593,32.97,50305.4,-0.16,6.62,32699,1.206,NA,NA,14.467,0.435,44.03878,-68.91677,2.5,6.26,11.7,761.4,0
7/14/20,15:20:49,0,hurricane island far,1.4,1.61,40181.4,0.409,51093.7,120.6,124.1,10.04,0.596,32.97,50305.9,-0.16,6.61,32699,1.206,NA,NA,14.462,0.437,44.03878,-68.91677,2.5,6.26,11.7,761.3,0
7/14/20,15:20:50,0,hurricane island far,1.39,1.58,40177.5,0.412,51095,120.6,124.2,10.05,0.6,32.97,50306.9,-0.16,6.62,32700,1.206,NA,NA,14.458,0.426,44.03878,-68.91678,2.5,6.26,11.7,761.3,0
7/14/20,15:20:51,0,hurricane island far,1.41,1.54,40173.3,0.413,51095.5,120.7,124.2,10.05,0.602,32.97,50307.2,-0.18,6.61,32700,1.206,NA,NA,14.453,0.448,44.03878,-68.91678,2.6,6.26,11.7,761.3,0
7/14/20,15:20:52,0,hurricane island far,1.41,1.5,40169.3,0.415,51097.3,120.8,124.3,10.06,0.604,32.97,50308.7,-0.2,6.63,32701,1.206,NA,NA,14.448,0.405,44.03879,-68.91679,2.6,6.26,11.7,761.3,0
7/14/20,15:20:53,0,hurricane island far,1.4,1.48,40165.6,0.417,51098.9,120.9,124.4,10.07,0.607,32.97,50310.1,-0.22,6.58,32702,1.206,NA,NA,14.442,0.43,44.03879,-68.91679,2.7,6.26,11.7,761.3,0
