Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:44,0,hurricane island,-0.02,0.28,0.5,0.019,0.6,95.9,98.7,8.9,0.027,0,0.6,0.81,2.25,0,1.206,NA,NA,18.999,0.019,44.04052,-68.89126,3.7,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:45,0,hurricane island,-0.02,0.28,0.5,0.019,0.6,95.9,98.7,8.9,0.027,0,0.6,0.81,2.27,0,1.206,NA,NA,18.998,0.018,44.04052,-68.89126,3.8,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:46,0,hurricane island,-0.02,0.29,0.5,0.019,0.6,95.9,98.7,8.9,0.027,0,0.6,0.81,2.25,0,1.206,NA,NA,18.998,0.018,44.04052,-68.89126,3.6,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:47,0,hurricane island,-0.03,0.29,0.5,0.019,0.6,96,98.8,8.9,0.027,0,0.6,0.81,2.24,0,1.206,NA,NA,18.998,0.018,44.04052,-68.89126,3.6,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:48,0,hurricane island,-0.02,0.28,0.5,0.019,0.6,96,98.8,8.9,0.027,0,0.6,0.81,2.24,0,1.206,NA,NA,18.997,0.019,44.04052,-68.89126,3.7,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:49,0,hurricane island,-0.02,0.29,0.5,0.019,0.6,96,98.8,8.9,0.026,0,0.6,0.8,2.23,0,1.206,NA,NA,18.997,0.018,44.04052,-68.89126,3.8,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:50,0,hurricane island,-0.02,0.29,0.5,0.019,0.6,96,98.8,8.91,0.026,0,0.6,0.8,2.23,0,1.206,NA,NA,18.997,0.017,44.04052,-68.89126,3.6,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:51,0,hurricane island,-0.02,0.29,0.5,0.019,0.6,96,98.8,8.91,0.026,0,0.6,0.8,2.23,0,1.206,NA,NA,18.998,0.019,44.04052,-68.89126,3.9,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:52,0,hurricane island,-0.02,0.28,0.5,0.019,0.6,96,98.8,8.91,0.026,0,0.6,0.8,2.22,0,1.206,NA,NA,18.998,0.018,44.04052,-68.89126,4,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:53,0,hurricane island,-0.02,0.28,0.5,0.019,0.6,96,98.8,8.91,0.026,0,0.6,0.81,2.22,0,1.206,NA,NA,18.999,0.019,44.04052,-68.89126,3.9,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:54,0,hurricane island,-0.02,0.28,0.5,0.019,0.6,96,98.8,8.9,0.026,0,0.6,0.81,2.22,0,1.206,NA,NA,18.999,0.018,44.04052,-68.89126,3.8,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:55,0,hurricane island,-0.04,0.27,0.5,0.019,0.6,96,98.8,8.9,0.026,0,0.6,0.81,2.22,0,1.206,NA,NA,18.999,0.019,44.04052,-68.89126,3.9,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:56,0,hurricane island,-0.04,0.27,0.5,0.019,0.6,96,98.8,8.9,0.026,0,0.6,0.81,2.21,0,1.206,NA,NA,18.999,0.019,44.04052,-68.89126,3.9,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:57,0,hurricane island,-0.03,0.26,0.5,0.019,0.6,95.9,98.7,8.9,0.026,0,0.6,0.82,2.19,0,1.206,NA,NA,18.999,0.018,44.04052,-68.89126,3.9,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:58,0,hurricane island,-0.04,0.26,0.5,0.019,0.6,95.9,98.7,8.9,0.026,0,0.6,0.81,2.17,0,1.206,NA,NA,18.999,0.019,44.04052,-68.89126,4,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:24:59,0,hurricane island,-0.04,0.27,0.5,0.019,0.6,95.9,98.7,8.9,0.026,0,0.6,0.81,2.17,0,1.206,NA,NA,18.999,0.018,44.04052,-68.89126,4.1,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
