Date,Time (HH:mm:ss),Time (Fract. Sec),Site,Chlorophyll RFU,Chlorophyll RFU,Cond µS/cm,Depth,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,Depth Round
7/15/20,09:43:19,0,north haven far,0.01,-0.01,6066,0.251,6755.4,98.7,101.6,8.77,0.357,3.68,6696.8,-0.63,0.72,4353,1.206,NA,NA,20.068,0.252,44.16608,-68.78335,6.6,6.25,11.7,767,0
7/15/20,09:43:20,0,north haven far,0.02,-0.02,6066.1,0.251,6755.6,98.7,101.6,8.77,0.357,3.68,6697,-0.65,0.71,4353,1.206,NA,NA,20.068,0.249,44.16607,-68.78335,6.5,6.25,11.7,767,0
7/15/20,09:43:21,0,north haven far,0.03,-0.02,6066.1,0.251,6755.7,98.7,101.6,8.77,0.357,3.68,6697.1,-0.67,0.72,4353,1.206,NA,NA,20.068,0.25,44.16607,-68.78335,6.7,6.25,11.7,767,0
7/15/20,09:43:22,0,north haven far,0.02,-0.03,6066.2,0.251,6755.8,98.7,101.6,8.77,0.357,3.68,6697.2,-0.7,0.72,4353,1.206,NA,NA,20.067,0.25,44.16606,-68.78335,6.5,6.25,11.7,767.1,0
7/15/20,09:43:23,0,north haven far,0.02,-0.04,6066.3,0.251,6756.1,98.7,101.6,8.77,0.357,3.68,6697.4,-0.71,0.71,4353,1.206,NA,NA,20.067,0.253,44.16606,-68.78335,6.1,6.25,11.7,767,0
7/15/20,09:43:24,0,north haven far,0.02,-0.04,6066.5,0.251,6756.3,98.7,101.6,8.77,0.357,3.68,6697.6,-0.73,0.72,4353,1.206,NA,NA,20.067,0.246,44.16606,-68.78335,6.3,6.25,11.7,767.1,0
7/15/20,09:43:25,0,north haven far,0.02,-0.05,6066.7,0.251,6756.6,98.7,101.6,8.77,0.357,3.68,6697.9,-0.74,0.72,4354,1.206,NA,NA,20.066,0.245,44.16606,-68.78335,6.1,6.25,11.7,767.1,0
7/15/20,09:43:26,0,north haven far,0.01,-0.05,6067.1,0.25,6757,98.7,101.6,8.77,0.357,3.68,6698.3,-0.75,0.72,4354,1.206,NA,NA,20.067,0.251,44.16605,-68.78335,6,6.25,11.7,767.1,0
7/15/20,09:43:27,0,north haven far,0.01,-0.04,6067.3,0.25,6757.2,98.7,101.6,8.77,0.356,3.68,6698.5,-0.76,0.72,4354,1.206,NA,NA,20.067,0.201,44.16605,-68.78335,5.9,6.25,11.7,767.1,0
7/15/20,09:43:28,0,north haven far,0,-0.04,6067.3,0.245,6757.1,98.7,101.5,8.77,0.349,3.68,6698.4,-0.77,0.75,4354,1.206,NA,NA,20.067,-0.018,44.16605,-68.78335,6,6.25,11.7,767,0
7/15/20,09:43:29,0,north haven far,0,-0.04,6066.8,0.238,6756.5,98.6,101.5,8.77,0.339,3.68,6697.9,-0.79,0.75,4354,1.206,NA,NA,20.067,-0.058,44.16604,-68.78335,5.7,6.25,11.7,767.1,0
7/15/20,09:43:30,0,north haven far,0,-0.03,6046,0.227,6733.7,98.6,101.5,8.78,0.324,3.67,6675.2,-0.79,0.79,4339,1.206,NA,NA,20.065,-0.174,44.16603,-68.78335,5.7,6.25,11.7,767,0
7/15/20,09:43:31,0,north haven far,-0.01,-0.02,5871.5,0.22,6539.8,98.6,101.5,8.78,0.314,3.55,6482.9,-0.78,0.82,4214,1.206,NA,NA,20.063,0.031,44.16603,-68.78335,5.9,6.25,11.7,767,0
7/15/20,09:43:32,0,north haven far,0,-0.02,7.4,0.216,8.3,98.6,101.4,8.77,0.308,0,8.2,-0.76,0.86,5,1.206,NA,NA,20.057,0.086,44.16602,-68.78336,5.6,6.25,11.7,767,0
7/15/20,09:43:33,0,north haven far,0.01,0,246.8,0.213,275,98.5,101.4,8.94,0.303,0.13,272.6,-0.74,0.95,177,1.206,NA,NA,20.051,0.096,44.16602,-68.78336,5.3,6.25,11.7,767,0
7/15/20,09:43:34,0,north haven far,0,0.02,6.3,0.209,7,98.5,101.4,8.95,0.297,0,7,-0.74,1.03,5,1.206,NA,NA,20.041,0.098,44.16601,-68.78336,5.4,6.25,11.7,767.1,0
7/15/20,09:43:35,0,north haven far,0.01,0.06,6,0.205,6.7,98.5,101.3,8.95,0.291,0,6.7,-0.71,1.07,4,1.206,NA,NA,20.035,0.1,44.16601,-68.78336,5,6.25,11.7,767.1,0
7/15/20,09:43:36,0,north haven far,0.02,0.1,5.5,0.201,6.2,98.4,101.3,8.94,0.285,0,6.1,-0.7,1.12,4,1.206,NA,NA,20.022,0.1,44.166,-68.78336,4.9,6.25,11.7,767.1,0
7/15/20,09:43:37,0,north haven far,0.02,0.13,5.3,0.197,6,98.4,101.2,8.94,0.28,0,5.9,-0.66,1.18,4,1.206,NA,NA,20.014,0.099,44.166,-68.78336,5,6.25,11.7,767,0
7/15/20,09:43:38,0,north haven far,0.02,0.15,5.2,0.193,5.8,98.3,101.1,8.94,0.274,0,5.8,-0.65,1.23,4,1.206,NA,NA,19.996,0.1,44.166,-68.78336,4.8,6.25,11.7,767,0
7/15/20,09:43:39,0,north haven far,0.02,0.18,5.2,0.189,5.8,98.2,101.1,8.93,0.269,0,5.7,-0.65,1.31,4,1.206,NA,NA,19.985,0.099,44.166,-68.78336,4.7,6.25,11.7,767.1,0
7/15/20,09:43:40,0,north haven far,0.02,0.2,5.1,0.185,5.7,98.1,101,8.93,0.262,0,5.6,-0.63,1.37,4,1.206,NA,NA,19.96,0.101,44.16599,-68.78336,4.4,6.25,11.7,767.1,0
7/15/20,09:43:41,0,north haven far,0.03,0.23,5,0.181,5.6,98.1,100.9,8.92,0.257,0,5.5,-0.6,1.44,4,1.206,NA,NA,19.946,0.103,44.16598,-68.78336,4.6,6.25,11.7,767,0
7/15/20,09:43:42,0,north haven far,0.05,0.24,4.9,0.177,5.4,97.9,100.8,8.92,0.251,0,5.4,-0.57,1.49,4,1.206,NA,NA,19.915,0.098,44.16598,-68.78336,4.7,6.25,11.7,767.1,0
7/15/20,09:43:43,0,north haven far,0.04,0.25,4.8,0.173,5.4,97.8,100.7,8.91,0.246,0,5.3,-0.5,1.56,3,1.206,NA,NA,19.892,0.098,44.16597,-68.78336,4.7,6.25,11.7,767,0
7/15/20,09:43:44,0,north haven far,0.06,0.26,4.8,0.17,5.4,85.5,88,7.79,0.242,0,5.4,-0.47,1.64,3,1.206,NA,NA,19.859,0.281,44.16597,-68.78336,5.1,6.25,11.7,767.1,0
7/15/20,09:43:45,0,north haven far,0.09,0.25,5.4,0.174,6.3,88.7,91.2,8.3,0.247,0,6.2,-0.44,1.68,4,1.206,NA,NA,17.784,0.396,44.16597,-68.78336,5.1,6.25,11.7,767.1,0
7/15/20,09:43:46,0,north haven far,0.1,0.23,39703.1,0.175,47413,90.6,93.3,7.25,0.254,30.47,46806.2,-0.45,1.7,30424,1.206,NA,NA,16.966,0.444,44.16597,-68.78336,5.2,6.25,11.7,767.1,0
7/15/20,09:43:47,0,north haven far,0.12,0.23,39700.2,0.18,48180.9,91.5,94.2,7.38,0.262,30.99,47527.1,-0.44,1.74,30893,1.206,NA,NA,16.378,0.452,44.16596,-68.78336,5,6.25,11.7,767.1,0
7/15/20,09:43:48,0,north haven far,0.14,0.22,39617.4,0.185,48390.2,92.2,94.9,7.51,0.269,31.12,47719.6,-0.45,1.78,31018,1.206,NA,NA,16.065,0.459,44.16595,-68.78336,4.7,6.25,11.7,767.2,0
7/15/20,09:43:49,0,north haven far,0.16,0.21,39576.6,0.194,48749.8,93,95.7,7.61,0.282,31.36,48056.5,-0.45,1.76,31237,1.206,NA,NA,15.761,0.498,44.16595,-68.78336,4.7,6.24,11.7,767.1,0
7/15/20,09:43:50,0,north haven far,0.17,0.19,39553.8,0.199,49001.7,93.5,96.2,7.68,0.289,31.53,48293.2,-0.49,1.74,31391,1.206,NA,NA,15.496,0.49,44.16594,-68.78336,4.7,6.24,11.7,767.1,0
7/15/20,09:43:51,0,north haven far,0.19,0.18,39539.3,0.203,49242.4,94,96.7,7.74,0.296,31.69,48520.2,-0.52,1.72,31538,1.206,NA,NA,15.309,0.445,44.16594,-68.78336,5,6.24,11.7,767.1,0
7/15/20,09:43:52,0,north haven far,0.21,0.16,39534.9,0.21,49422.7,94.3,97.1,7.8,0.306,31.81,48690.7,-0.56,1.66,31649,1.206,NA,NA,15.136,0.433,44.16593,-68.78335,4.7,6.24,11.7,767,0
7/15/20,09:43:53,0,north haven far,0.21,0.17,39527,0.214,49586.6,94.7,97.5,7.85,0.311,31.92,48845.6,-0.59,1.64,31750,1.206,NA,NA,15.012,0.415,44.16592,-68.78335,4.9,6.24,11.7,767,0
7/15/20,09:43:54,0,north haven far,0.22,0.17,39522.1,0.219,49708.9,95.1,97.8,7.89,0.319,32,48961.3,-0.6,1.63,31825,1.206,NA,NA,14.893,0.465,44.16592,-68.78335,4.8,6.24,11.7,767,0
7/15/20,09:43:55,0,north haven far,0.22,0.15,39519.4,0.226,49827.6,95.4,98.2,7.93,0.329,32.08,49073.8,-0.61,1.62,31898,1.206,NA,NA,14.807,0.46,44.16591,-68.78335,5.2,6.24,11.7,767.1,0
7/15/20,09:43:56,0,north haven far,0.22,0.16,39517.9,0.231,49916.4,95.7,98.4,7.96,0.336,32.14,49158.1,-0.64,1.6,31953,1.206,NA,NA,14.723,0.484,44.1659,-68.78335,5.7,6.24,11.7,767,0
7/15/20,09:43:57,0,north haven far,0.22,0.16,39515.7,0.237,50002.7,95.9,98.7,7.99,0.346,32.2,49239.9,-0.66,1.58,32006,1.206,NA,NA,14.66,0.501,44.1659,-68.78334,5.5,6.24,11.7,767,0
