Date,Time (HH:mm:ss),Time (Fract. Sec),Site,Chlorophyll RFU,Chlorophyll RFU,Cond µS/cm,Depth,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,Depth Round
7/15/20,10:17:14,0,North Haven,0.33,0.34,40096.7,0.315,49475.9,98,100.9,8.02,0.459,31.88,48768.7,-0.08,1.68,31700,1.206,NA,NA,15.69,0.544,44.17603,-68.81908,7.1,6.25,11.7,767.2,0
7/15/20,10:17:15,0,North Haven,0.34,0.36,40103.8,0.323,49530.9,98.3,101.1,8.04,0.47,31.92,48821,-0.16,1.68,31734,1.206,NA,NA,15.647,0.543,44.17603,-68.81908,7.4,6.25,11.7,767.2,0
7/15/20,10:17:16,0,North Haven,0.35,0.36,40107.6,0.329,49580.8,98.6,101.4,8.07,0.479,31.95,48868.3,-0.25,1.73,31764,1.206,NA,NA,15.614,0.529,44.17603,-68.81908,7,6.25,11.7,767.2,0
7/15/20,10:17:17,0,North Haven,0.36,0.38,40108.7,0.335,49617,98.8,101.7,8.09,0.488,31.97,48902.6,-0.33,1.72,31787,1.206,NA,NA,15.581,0.54,44.17603,-68.81908,6.6,6.25,11.7,767.1,0
7/15/20,10:17:18,0,North Haven,0.37,0.39,40109.8,0.341,49654.3,99,101.9,8.11,0.496,32,48937.9,-0.42,1.69,31810,1.206,NA,NA,15.555,0.527,44.17603,-68.81908,6.7,6.25,11.7,767.3,0
7/15/20,10:17:19,0,North Haven,0.36,0.4,40110.7,0.347,49684.5,99.2,102.1,8.13,0.505,32.02,48966.5,-0.5,1.69,31828,1.206,NA,NA,15.528,0.536,44.17603,-68.81907,6.7,6.25,11.7,767.2,0
7/15/20,10:17:20,0,North Haven,0.35,0.39,40112.2,0.354,49716.8,99.7,102.6,8.18,0.515,32.04,48997.1,-0.58,1.66,31848,1.206,NA,NA,15.506,0.533,44.17603,-68.81907,6.6,6.25,11.7,767.3,0
7/15/20,10:17:21,0,North Haven,0.36,0.4,40113.3,0.359,49779.7,100.1,103,8.21,0.523,32.08,49056.6,-0.63,1.65,31887,1.206,NA,NA,15.447,0.518,44.17603,-68.81907,6.3,6.25,11.7,767.3,0
7/15/20,10:17:22,0,North Haven,0.36,0.38,40118.5,0.366,49856.9,100.5,103.5,8.26,0.532,32.14,49129.8,-0.63,1.65,31934,1.206,NA,NA,15.397,0.543,44.17603,-68.81907,6.3,6.25,11.7,767.2,0
7/15/20,10:17:23,0,North Haven,0.35,0.39,40123.4,0.371,49913.1,100.9,103.8,8.29,0.541,32.17,49183.2,-0.62,1.66,31969,1.206,NA,NA,15.351,0.523,44.17603,-68.81907,6.1,6.25,11.7,767.2,0
7/15/20,10:17:24,0,North Haven,0.35,0.39,40125.5,0.378,49963.1,101.2,104.1,8.32,0.55,32.21,49230.7,-0.6,1.66,32000,1.206,NA,NA,15.317,0.52,44.17603,-68.81907,6.1,6.25,11.7,767.1,0
7/15/20,10:17:25,0,North Haven,0.35,0.38,40127.7,0.384,50000.3,101.5,104.4,8.35,0.559,32.23,49266,-0.58,1.67,32023,1.206,NA,NA,15.285,0.539,44.17603,-68.81907,6.1,6.25,11.7,767.2,0
7/15/20,10:17:26,0,North Haven,0.35,0.38,40128.8,0.39,50034.8,101.8,104.7,8.38,0.567,32.26,49298.7,-0.57,1.7,32044,1.206,NA,NA,15.261,0.517,44.17603,-68.81907,6,6.25,11.7,767.1,0
7/15/20,10:17:27,0,North Haven,0.34,0.38,40127.5,0.395,50057,102,105,8.4,0.576,32.27,49319.7,-0.56,1.68,32058,1.206,NA,NA,15.239,0.529,44.17603,-68.81907,5.8,6.25,11.7,767.2,0
7/15/20,10:17:28,0,North Haven,0.33,0.39,40125.8,0.403,50078.7,102.2,105.2,8.42,0.586,32.29,49340.1,-0.55,1.7,32071,1.206,NA,NA,15.223,0.53,44.17603,-68.81906,5.8,6.25,11.7,767.2,0
7/15/20,10:17:29,0,North Haven,0.32,0.39,40124.6,0.408,50095.5,102.4,105.4,8.44,0.594,32.3,49355.9,-0.54,1.7,32081,1.206,NA,NA,15.206,0.518,44.17603,-68.81906,5.8,6.25,11.7,767.2,0
7/15/20,10:17:30,0,North Haven,0.34,0.37,40124.6,0.414,50113.7,102.6,105.6,8.46,0.603,32.31,49373.2,-0.55,1.68,32093,1.206,NA,NA,15.193,0.539,44.17603,-68.81906,5.8,6.24,11.7,767.2,0
7/15/20,10:17:31,0,North Haven,0.34,0.38,40124.4,0.42,50127.2,102.8,105.8,8.47,0.611,32.32,49385.9,-0.54,1.68,32101,1.206,NA,NA,15.18,0.513,44.17603,-68.81906,5.5,6.24,11.7,767.2,0
7/15/20,10:17:32,0,North Haven,0.34,0.37,40123.6,0.427,50140,103,106,8.49,0.622,32.33,49398,-0.55,1.66,32109,1.206,NA,NA,15.17,0.534,44.17603,-68.81906,5.4,6.24,11.7,767.2,0
7/15/20,10:17:33,0,North Haven,0.34,0.37,40122.6,0.437,50149.9,103.1,106.1,8.5,0.637,32.33,49407.3,-0.55,1.67,32115,1.206,NA,NA,15.16,0.538,44.17603,-68.81906,5.4,6.24,11.7,767.3,0
7/15/20,10:17:34,0,North Haven,0.33,0.36,40121.1,0.448,50160.3,103.2,106.3,8.51,0.653,32.34,49417.1,-0.57,1.68,32121,1.206,NA,NA,15.151,0.537,44.17603,-68.81905,5.3,6.24,11.7,767.2,0
7/15/20,10:17:35,0,North Haven,0.34,0.35,40120.8,0.459,50169.9,103.4,106.4,8.52,0.669,32.35,49426.3,-0.58,1.68,32127,1.206,NA,NA,15.142,0.533,44.17602,-68.81905,5.2,6.24,11.7,767.2,0
7/15/20,10:17:36,0,North Haven,0.35,0.35,40119.1,0.471,50178.2,103.5,106.5,8.53,0.686,32.35,49434,-0.61,1.69,32132,1.206,NA,NA,15.135,0.545,44.17602,-68.81905,5.4,6.24,11.7,767.2,0
7/15/20,10:17:37,0,North Haven,0.35,0.34,40116.8,0.482,50183.7,103.6,106.6,8.54,0.701,32.36,49439.1,-0.62,1.71,32135,1.206,NA,NA,15.127,0.526,44.17602,-68.81905,5.3,6.24,11.7,767.2,0
7/15/20,10:17:38,0,North Haven,0.36,0.33,40116,0.495,50191.7,103.7,106.7,8.55,0.721,32.36,49446.6,-0.63,1.71,32140,1.206,NA,NA,15.12,0.54,44.17602,-68.81905,5.3,6.24,11.7,767.3,0
7/15/20,10:17:39,0,North Haven,0.37,0.32,40114.9,0.506,50197.8,103.8,106.8,8.56,0.737,32.37,49452.4,-0.65,1.72,32144,1.206,NA,NA,15.113,0.526,44.17602,-68.81905,5.4,6.24,11.7,767.3,1
7/15/20,10:17:40,0,North Haven,0.37,0.31,40114.6,0.517,50205.8,103.8,106.9,8.57,0.753,32.37,49459.9,-0.66,1.73,32149,1.206,NA,NA,15.107,0.535,44.17602,-68.81905,5.5,6.24,11.7,767.2,1
7/15/20,10:17:41,0,North Haven,0.37,0.32,40114.1,0.527,50212.2,103.9,106.9,8.57,0.768,32.37,49466,-0.68,1.74,32153,1.206,NA,NA,15.101,0.523,44.17601,-68.81905,5.7,6.24,11.7,767.1,1
7/15/20,10:17:42,0,North Haven,0.36,0.32,40111.9,0.531,50217.8,104,107,8.58,0.774,32.38,49471.2,-0.68,1.72,32156,1.206,NA,NA,15.095,0.542,44.17601,-68.81905,5.5,6.24,11.7,767.2,1
7/15/20,10:17:43,0,North Haven,0.36,0.34,40110.6,0.532,50223.4,104.1,107.1,8.59,0.775,32.38,49476.5,-0.68,1.72,32160,1.206,NA,NA,15.088,0.536,44.17601,-68.81905,5.5,6.24,11.7,767.2,1
7/15/20,10:17:44,0,North Haven,0.36,0.34,40108.8,0.533,50229.2,104.1,107.1,8.59,0.776,32.39,49481.9,-0.69,1.73,32163,1.206,NA,NA,15.083,0.528,44.17601,-68.81905,5.3,6.24,11.7,767.1,1
7/15/20,10:17:45,0,North Haven,0.36,0.34,40107.7,0.533,50234.5,104.2,107.2,8.6,0.777,32.39,49486.8,-0.7,1.73,32166,1.206,NA,NA,15.076,0.558,44.17601,-68.81905,5.4,6.24,11.7,767.1,1
7/15/20,10:17:46,0,North Haven,0.36,0.35,40106.7,0.533,50240.4,104.2,107.2,8.6,0.777,32.39,49492.4,-0.7,1.75,32170,1.206,NA,NA,15.071,0.534,44.17601,-68.81905,5.4,6.24,11.7,767.2,1
7/15/20,10:17:47,0,North Haven,0.36,0.35,40104.6,0.534,50243.5,104.2,107.3,8.61,0.777,32.4,49495.2,-0.7,1.75,32172,1.206,NA,NA,15.066,0.542,44.17601,-68.81905,5.4,6.24,11.7,767.2,1
7/15/20,10:17:48,0,North Haven,0.35,0.36,40102.3,0.533,50247.3,104.3,107.3,8.61,0.776,32.4,49498.7,-0.69,1.74,32174,1.206,NA,NA,15.061,0.521,44.17601,-68.81905,5.4,6.24,11.7,767.2,1
7/15/20,10:17:49,0,North Haven,0.35,0.36,40101,0.533,50251.6,104.3,107.4,8.62,0.776,32.4,49502.7,-0.68,1.75,32177,1.206,NA,NA,15.056,0.517,44.17602,-68.81905,5.3,6.24,11.7,767.2,1
7/15/20,10:17:50,0,North Haven,0.35,0.36,40099,0.531,50256.1,104.4,107.4,8.62,0.773,32.4,49506.9,-0.67,1.76,32179,1.206,NA,NA,15.051,0.493,44.17602,-68.81905,5.1,6.24,11.7,767.2,1
7/15/20,10:17:51,0,North Haven,0.35,0.36,40098.1,0.53,50261,104.4,107.5,8.62,0.772,32.41,49511.5,-0.65,1.76,32182,1.206,NA,NA,15.045,0.501,44.17602,-68.81905,5.1,6.24,11.7,767.1,1
7/15/20,10:17:52,0,North Haven,0.35,0.36,40097.6,0.529,50266.9,104.5,107.5,8.63,0.77,32.41,49517,-0.64,1.77,32186,1.206,NA,NA,15.04,0.485,44.17602,-68.81905,5.1,6.24,11.7,767.2,1
7/15/20,10:17:53,0,North Haven,0.34,0.35,40097.4,0.526,50271.3,104.5,107.6,8.63,0.766,32.41,49521.3,-0.63,1.75,32189,1.206,NA,NA,15.036,0.456,44.17603,-68.81905,5.2,6.24,11.7,767.2,1
7/15/20,10:17:54,0,North Haven,0.34,0.35,40096.5,0.525,50275.2,104.6,107.6,8.64,0.764,32.42,49524.9,-0.62,1.75,32191,1.206,NA,NA,15.033,0.458,44.17603,-68.81906,5.2,6.24,11.7,767.2,1
7/15/20,10:17:55,0,North Haven,0.34,0.34,40096.3,0.522,50278.7,104.6,107.6,8.64,0.76,32.42,49528.2,-0.59,1.74,32193,1.206,NA,NA,15.029,0.441,44.17603,-68.81906,5.3,6.24,11.7,767.3,1
7/15/20,10:17:56,0,North Haven,0.33,0.34,40096,0.519,50283,104.6,107.7,8.64,0.756,32.42,49532.2,-0.59,1.73,32196,1.206,NA,NA,15.026,0.431,44.17604,-68.81906,5.3,6.24,11.7,767.2,1
7/15/20,10:17:57,0,North Haven,0.32,0.33,40093.4,0.517,50283.4,104.7,107.7,8.65,0.752,32.42,49532.5,-0.58,1.73,32196,1.206,NA,NA,15.022,0.425,44.17604,-68.81907,5.4,6.24,11.7,767.1,1
7/15/20,10:17:58,0,North Haven,0.33,0.33,40088.9,0.513,50282.9,104.7,107.7,8.65,0.748,32.42,49531.8,-0.57,1.75,32196,1.206,NA,NA,15.018,0.414,44.17604,-68.81907,5.4,6.24,11.7,767.1,1
7/15/20,10:17:59,0,North Haven,0.32,0.31,40088.3,0.51,50288.8,104.7,107.8,8.65,0.743,32.42,49537.4,-0.57,1.76,32199,1.206,NA,NA,15.013,0.403,44.17604,-68.81907,5.5,6.24,11.7,767.1,1
7/15/20,10:18:00,0,North Haven,0.32,0.3,40082.2,0.506,50287.5,104.7,107.8,8.66,0.738,32.42,49535.8,-0.56,1.76,32198,1.206,NA,NA,15.007,0.395,44.17605,-68.81908,5.5,6.25,11.7,767.2,1
7/15/20,10:18:01,0,North Haven,0.32,0.29,40067.5,0.503,50277.7,104.7,107.8,8.65,0.733,32.42,49525.9,-0.56,1.75,32192,1.206,NA,NA,15.001,0.409,44.17605,-68.81908,5.4,6.25,11.7,767.2,1
7/15/20,10:18:02,0,North Haven,0.31,0.29,40048.8,0.501,50265.3,104.7,107.7,8.65,0.73,32.41,49513.2,-0.57,1.76,32184,1.206,NA,NA,14.992,0.427,44.17606,-68.81908,5.4,6.25,11.7,767,1
7/15/20,10:18:03,0,North Haven,0.3,0.29,40027,0.499,50257.6,104.6,107.7,8.65,0.727,32.4,49505,-0.57,1.77,32178,1.206,NA,NA,14.976,0.467,44.17606,-68.81908,5.6,6.25,11.7,767.2,0
7/15/20,10:18:04,0,North Haven,0.31,0.28,40008.9,0.497,50256.5,104.6,107.6,8.65,0.725,32.4,49503.1,-0.58,1.75,32177,1.206,NA,NA,14.956,0.448,44.17606,-68.81908,5.5,6.25,11.7,767.2,0
7/15/20,10:18:05,0,North Haven,0.31,0.27,39980.6,0.497,50248.1,104.5,107.5,8.65,0.723,32.39,49493.8,-0.59,1.74,32171,1.206,NA,NA,14.937,0.487,44.17606,-68.81909,5.7,6.25,11.7,767.2,0
7/15/20,10:18:06,0,North Haven,0.32,0.26,39955,0.495,50243.2,104.4,107.4,8.64,0.721,32.39,49488,-0.6,1.76,32167,1.206,NA,NA,14.911,0.47,44.17606,-68.81909,5.7,6.25,11.7,767.1,0
7/15/20,10:18:07,0,North Haven,0.33,0.26,39922.8,0.494,50238.1,104.3,107.4,8.64,0.72,32.38,49481.7,-0.62,1.75,32163,1.206,NA,NA,14.886,0.492,44.17607,-68.81909,5.6,6.25,11.7,767.2,0
7/15/20,10:18:08,0,North Haven,0.34,0.26,39897,0.494,50240.5,104.2,107.3,8.64,0.719,32.38,49482.8,-0.63,1.76,32164,1.206,NA,NA,14.853,0.504,44.17607,-68.81909,5.8,6.25,11.7,767.2,0
7/15/20,10:18:09,0,North Haven,0.33,0.26,39866,0.493,50243.9,104.1,107.2,8.64,0.718,32.38,49484.6,-0.64,1.76,32165,1.206,NA,NA,14.823,0.497,44.17607,-68.81909,5.8,6.25,11.7,767.2,0
7/15/20,10:18:10,0,North Haven,0.34,0.27,39841.3,0.492,50251.8,104,107.1,8.64,0.717,32.39,49491,-0.66,1.77,32169,1.206,NA,NA,14.787,0.497,44.17607,-68.8191,6.2,6.24,11.7,767.2,0
7/15/20,10:18:11,0,North Haven,0.34,0.27,39816,0.491,50264.9,104,107,8.63,0.715,32.39,49502.2,-0.66,1.77,32176,1.206,NA,NA,14.755,0.504,44.17607,-68.81911,6.1,6.24,11.7,767.3,0
7/15/20,10:18:12,0,North Haven,0.34,0.29,39793.3,0.491,50275.5,103.9,106.9,8.63,0.715,32.4,49511.3,-0.65,1.8,32182,1.206,NA,NA,14.719,0.525,44.17608,-68.81911,6.3,6.24,11.7,767.2,0
7/15/20,10:18:13,0,North Haven,0.34,0.3,39777.8,0.49,50300.1,103.8,106.8,8.63,0.714,32.41,49534,-0.65,1.8,32197,1.206,NA,NA,14.688,0.516,44.17608,-68.81911,6.3,6.24,11.7,767.1,0
7/15/20,10:18:14,0,North Haven,0.34,0.31,39777.6,0.489,50334.6,103.8,106.8,8.64,0.712,32.44,49566.8,-0.66,1.79,32218,1.206,NA,NA,14.656,0.487,44.17608,-68.81911,6.3,6.24,11.7,767.2,0
7/15/20,10:18:15,0,North Haven,0.35,0.31,39784.4,0.486,50372.8,103.8,106.9,8.64,0.708,32.46,49603.4,-0.66,1.81,32242,1.206,NA,NA,14.636,0.439,44.17608,-68.81911,6.4,6.24,11.7,767.2,0
7/15/20,10:18:16,0,North Haven,0.34,0.32,39793,0.486,50399,103.9,106.9,8.65,0.707,32.48,49628.7,-0.66,1.81,32259,1.206,NA,NA,14.622,0.512,44.17609,-68.81911,6.2,6.24,11.7,767.2,0
7/15/20,10:18:17,0,North Haven,0.33,0.33,39800.2,0.486,50417.9,104,107,8.66,0.708,32.49,49646.9,-0.65,1.8,32270,1.206,NA,NA,14.616,0.553,44.17609,-68.81911,6.3,6.24,11.7,767.2,0
7/15/20,10:18:18,0,North Haven,0.33,0.34,39811.9,0.487,50436.4,104,107.1,8.66,0.71,32.51,49665,-0.64,1.8,32282,1.207,NA,NA,14.613,0.565,44.17609,-68.81911,6.3,6.24,11.7,767.2,0
7/15/20,10:18:19,0,North Haven,0.33,0.35,39825.1,0.488,50452.6,104.1,107.1,8.67,0.711,32.52,49681,-0.63,1.8,32293,1.206,NA,NA,14.613,0.553,44.17609,-68.81911,6.4,6.24,11.7,767.2,0
7/15/20,10:18:20,0,North Haven,0.32,0.35,39843.9,0.488,50472.4,104.2,107.2,8.67,0.71,32.53,49700.6,-0.62,1.81,32305,1.206,NA,NA,14.617,0.514,44.17609,-68.81911,6.4,6.25,11.7,767.2,0
7/15/20,10:18:21,0,North Haven,0.31,0.36,39874.4,0.487,50500.3,104.3,107.4,8.68,0.71,32.55,49728.5,-0.6,1.8,32324,1.206,NA,NA,14.625,0.55,44.17609,-68.81911,6.1,6.25,11.7,767.2,0
7/15/20,10:18:22,0,North Haven,0.3,0.37,39903.3,0.491,50519.8,104.5,107.5,8.69,0.715,32.57,49748.2,-0.58,1.76,32336,1.206,NA,NA,14.641,0.659,44.17609,-68.81912,5.9,6.25,11.7,767.2,0
7/15/20,10:18:23,0,North Haven,0.3,0.36,39927,0.498,50521.4,104.6,107.6,8.7,0.725,32.57,49750.8,-0.58,1.76,32338,1.206,NA,NA,14.662,0.999,44.17609,-68.81912,5.7,6.25,11.7,767.2,0
7/15/20,10:18:24,0,North Haven,0.3,0.36,39946,1.442,50518.1,104.7,107.7,8.7,2.1,32.57,49748.5,-0.56,1.74,32337,1.206,NA,NA,14.687,1.244,44.1761,-68.81912,5.6,6.25,11.7,767.2,1
7/15/20,10:18:25,0,North Haven,0.31,0.35,39957.1,1.664,50501.4,104.8,107.8,8.71,2.424,32.56,49733.1,-0.55,1.74,32327,1.206,NA,NA,14.708,1.579,44.17609,-68.81913,5.8,6.25,11.7,767.2,2
7/15/20,10:18:26,0,North Haven,0.31,0.37,39967,1.789,50489.7,104.8,107.9,8.71,2.606,32.55,49722.4,-0.54,1.76,32320,1.206,NA,NA,14.73,1.708,44.17609,-68.81913,6,6.25,11.7,767.2,2
7/15/20,10:18:27,0,North Haven,0.32,0.37,39972.7,1.871,50472.3,104.9,107.9,8.71,2.725,32.54,49706.2,-0.53,1.77,32309,1.206,NA,NA,14.748,1.849,44.17609,-68.81913,6.2,6.25,11.7,767.2,2
7/15/20,10:18:28,0,North Haven,0.33,0.37,39975.7,1.886,50458.5,104.9,108,8.71,2.747,32.53,49693.3,-0.53,1.78,32301,1.206,NA,NA,14.763,1.894,44.17609,-68.81913,6.6,6.25,11.7,767.2,2
7/15/20,10:18:29,0,North Haven,0.33,0.36,39977.6,1.903,50445.2,104.9,108,8.71,2.771,32.52,49680.7,-0.53,1.78,32292,1.206,NA,NA,14.774,1.937,44.17609,-68.81913,6.6,6.25,11.7,767.3,2
7/15/20,10:18:30,0,North Haven,0.33,0.37,39974.8,1.941,50430.7,104.9,108,8.7,2.828,32.51,49666.8,-0.53,1.78,32283,1.206,NA,NA,14.784,2.056,44.17609,-68.81913,6.7,6.24,11.7,767.2,2
7/15/20,10:18:31,0,North Haven,0.34,0.37,39971.5,1.998,50417.4,104.9,108,8.7,2.91,32.5,49654,-0.55,1.8,32275,1.206,NA,NA,14.791,2.129,44.17609,-68.81913,6.2,6.24,11.7,767.2,2
7/15/20,10:18:32,0,North Haven,0.36,0.37,39968.3,2.03,50407.9,104.9,108,8.7,2.957,32.5,49644.8,-0.56,1.81,32269,1.206,NA,NA,14.796,2.144,44.17609,-68.81913,6.2,6.24,11.7,767.3,2
7/15/20,10:18:33,0,North Haven,0.37,0.37,39959.8,2.056,50393.4,104.9,107.9,8.7,2.994,32.49,49630.7,-0.56,1.84,32260,1.206,NA,NA,14.798,2.218,44.17609,-68.81913,6,6.24,11.7,767.2,2
7/15/20,10:18:34,0,North Haven,0.38,0.37,39942.4,2.093,50371,104.8,107.9,8.7,3.048,32.47,49608.6,-0.56,1.86,32246,1.206,NA,NA,14.798,2.37,44.17609,-68.81913,6,6.24,11.7,767.2,2
7/15/20,10:18:35,0,North Haven,0.38,0.38,39919.5,2.142,50347.7,104.7,107.8,8.69,3.119,32.45,49585.5,-0.57,1.87,32231,1.206,NA,NA,14.794,2.504,44.17609,-68.81913,5.7,6.24,11.7,767.2,2
7/15/20,10:18:36,0,North Haven,0.38,0.39,39904.7,2.203,50340.9,104.7,107.7,8.69,3.208,32.45,49578.4,-0.59,1.91,32226,1.206,NA,NA,14.783,2.652,44.17609,-68.81913,5.6,6.24,11.7,767.3,2
7/15/20,10:18:37,0,North Haven,0.38,0.39,39893.7,2.255,50343.2,104.6,107.7,8.68,3.284,32.45,49580.2,-0.59,1.92,32227,1.206,NA,NA,14.771,2.724,44.17609,-68.81913,5.4,6.24,11.7,767.2,2
7/15/20,10:18:38,0,North Haven,0.38,0.39,39887.1,2.303,50348.9,104.6,107.6,8.68,3.354,32.45,49585.2,-0.6,1.94,32230,1.206,NA,NA,14.758,2.836,44.1761,-68.81913,4.9,6.24,11.7,767.2,2
