Date,Time (HH:mm:ss),Time (Fract. Sec),Site,Chlorophyll RFU,Chlorophyll RFU,Cond µS/cm,Depth,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,Depth Round
7/15/20,09:17:34,0,stonington far,0.04,-0.07,5085.9,0.611,5522.3,103.3,106.3,9.02,0.87,2.97,5484.2,-0.32,1.8,3565,1.206,NA,NA,21.197,0.609,44.12193,-68.72053,4.2,6.25,11.7,766.9,1
7/15/20,09:17:35,0,stonington far,0.05,-0.05,5085.2,0.61,5521.7,103.3,106.3,9.02,0.868,2.97,5483.7,-0.33,1.8,3564,1.206,NA,NA,21.195,0.61,44.12193,-68.72054,4.1,6.25,11.7,766.9,1
7/15/20,09:17:36,0,stonington far,0.05,-0.04,5086.3,0.61,5523.2,103.3,106.3,9.02,0.868,2.97,5485.1,-0.32,1.78,3565,1.206,NA,NA,21.194,0.609,44.12193,-68.72055,4.8,6.25,11.7,766.9,1
7/15/20,09:17:37,0,stonington far,0.05,-0.04,5087,0.61,5524.1,103.3,106.3,9.01,0.867,2.97,5485.9,-0.32,1.8,3566,1.206,NA,NA,21.193,0.609,44.12193,-68.72055,4.1,6.25,11.7,766.8,1
7/15/20,09:17:38,0,stonington far,0.05,-0.03,5087.4,0.61,5524.6,103.2,106.3,9.01,0.867,2.97,5486.5,-0.29,1.8,3566,1.206,NA,NA,21.192,0.609,44.12193,-68.72056,3.8,6.25,11.7,766.8,1
7/15/20,09:17:39,0,stonington far,0.06,-0.02,5088.2,0.61,5525.5,103.2,106.2,9.01,0.867,2.97,5487.4,-0.27,1.79,3567,1.206,NA,NA,21.191,0.609,44.12193,-68.72057,3.7,6.25,11.7,766.9,1
7/15/20,09:17:40,0,stonington far,0.06,0,5093.6,0.609,5531.5,103.2,106.2,9.01,0.866,2.98,5493.3,-0.25,1.78,3571,1.206,NA,NA,21.19,0.601,44.12193,-68.72057,3.5,6.25,11.7,767.1,1
7/15/20,09:17:41,0,stonington far,0.07,0.02,5104.1,0.607,5542.8,103.4,106.4,9.02,0.863,2.98,5504.6,-0.23,1.76,3578,1.206,NA,NA,21.192,0.582,44.12192,-68.7206,3.9,6.25,11.7,767,1
7/15/20,09:17:42,0,stonington far,0.07,0.04,5114.5,0.603,5553.3,103.6,106.6,9.04,0.858,2.99,5515,-0.22,1.73,3585,1.206,NA,NA,21.198,0.57,44.12192,-68.7206,4.1,6.25,11.7,767,1
7/15/20,09:17:43,0,stonington far,0.07,0.05,5122.8,0.583,5560.9,103.7,106.7,9.05,0.829,2.99,5522.6,-0.21,1.7,3590,1.206,NA,NA,21.209,0.248,44.12191,-68.7206,4.6,6.25,11.7,767,1
7/15/20,09:17:44,0,stonington far,0.06,0.05,5135.5,0.541,5572.1,103.7,106.8,9.05,0.77,3,5534,-0.2,1.66,3597,1.206,NA,NA,21.234,0.092,44.12191,-68.7206,5.3,6.25,11.7,767,1
7/15/20,09:17:45,0,stonington far,0.06,0.04,5156.1,0.501,5588.7,104,107,9.06,0.713,3.01,5550.9,-0.19,1.62,3608,1.206,NA,NA,21.276,0.042,44.12191,-68.72062,5.4,6.25,11.7,766.9,1
7/15/20,09:17:46,0,stonington far,0.06,0.05,5172.6,0.468,5601.3,104.1,107.1,9.07,0.665,3.02,5563.8,-0.18,1.58,3616,1.206,NA,NA,21.318,0.054,44.12191,-68.72062,5.7,6.25,11.7,767,0
7/15/20,09:17:47,0,stonington far,0.07,0.07,5187.4,0.432,5611,104.3,107.3,9.08,0.614,3.02,5574,-0.17,1.56,3623,1.206,NA,NA,21.376,0.035,44.1219,-68.72063,5.3,6.25,11.7,767,0
7/15/20,09:17:48,0,stonington far,0.08,0.07,5204.6,0.407,5621.5,104.5,107.6,9.08,0.579,3.03,5585,-0.16,1.53,3630,1.206,NA,NA,21.443,0.053,44.1219,-68.72063,5.3,6.25,11.7,767,0
7/15/20,09:17:49,0,stonington far,0.08,0.08,5216.9,0.385,5628.2,104.6,107.7,9.09,0.548,3.03,5592.1,-0.17,1.47,3635,1.206,NA,NA,21.487,0.047,44.1219,-68.72063,6,6.25,11.7,767,0
7/15/20,09:17:50,0,stonington far,0.06,0.07,5227.9,0.368,5631.9,104.8,107.9,9.09,0.523,3.03,5596.4,-0.19,1.42,3638,1.206,NA,NA,21.562,0.07,44.1219,-68.72064,5.4,6.25,11.7,766.9,0
7/15/20,09:17:51,0,stonington far,0.07,0.07,5241.2,0.348,5635.4,105,108,9.09,0.495,3.04,5600.7,-0.19,1.39,3640,1.206,NA,NA,21.649,0.092,44.12189,-68.72065,5.4,6.25,11.7,767,0
7/15/20,09:17:52,0,stonington far,0.07,0.07,5241.2,0.338,5628.2,105.1,108.1,9.08,0.481,3.03,5594.1,-0.18,1.37,3636,1.206,NA,NA,21.708,0.099,44.12189,-68.72065,5,6.25,11.7,767,0
7/15/20,09:17:53,0,stonington far,0.08,0.06,200.4,0.327,214.7,105.2,108.2,9.24,0.465,0.1,213.4,-0.21,1.34,139,1.206,NA,NA,21.795,0.102,44.12189,-68.72066,5.1,6.25,11.7,767,0
7/15/20,09:17:54,0,stonington far,0.08,0.07,5244.8,0.314,5611.7,105.1,108.2,9.06,0.447,3.02,5579.3,-0.24,1.3,3627,1.206,NA,NA,21.87,0.102,44.12189,-68.72066,4.8,6.25,11.7,767.1,0
