Date,Time (HH:mm:ss),Time (Fract. Sec),Site,Chlorophyll RFU,Chlorophyll RFU,Cond µS/cm,Depth,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,Depth Round
7/15/20,08:36:11,0,stonington,0.08,-0.08,3.5,0.248,4.2,100.2,103.1,9.67,0.352,0,4.2,-0.57,0.72,3,1.206,NA,NA,17.051,0.261,44.14161,-68.70667,2.1,6.25,11.7,766.8,0
7/15/20,08:36:12,0,stonington,0.08,-0.08,4,0.248,4.7,100.2,103.1,9.67,0.353,0,4.7,-0.56,0.76,3,1.206,NA,NA,17.057,0.261,44.14161,-68.70667,1.9,6.25,11.7,766.9,0
7/15/20,08:36:13,0,stonington,0.08,-0.08,5.6,0.249,6.7,100.2,103.1,9.67,0.354,0,6.6,-0.58,0.72,4,1.206,NA,NA,17.063,0.263,44.14161,-68.70667,2,6.25,11.7,767,0
7/15/20,08:36:14,0,stonington,0.08,-0.08,5.8,0.25,6.9,100.2,103.1,9.67,0.355,0,6.8,-0.59,0.72,4,1.206,NA,NA,17.071,0.262,44.1416,-68.70668,2.1,6.25,11.7,766.9,0
7/15/20,08:36:15,0,stonington,0.09,-0.06,6.1,0.25,7.3,97,99.8,9.36,0.355,0,7.2,-0.6,0.72,5,1.206,NA,NA,17.076,0.241,44.1416,-68.70668,2.2,6.25,11.7,766.9,0
7/15/20,08:36:16,0,stonington,0.11,-0.06,3544.9,0.249,4230.8,95.4,98.2,9.21,0.355,2.23,4176.8,-0.6,0.73,2715,1.206,NA,NA,17.079,0.209,44.14161,-68.70669,2.6,6.25,11.7,766.8,0
7/15/20,08:36:17,0,stonington,0.1,-0.06,3548.2,0.248,4234.9,95.1,97.8,9.05,0.353,2.23,4180.8,-0.6,0.71,2718,1.206,NA,NA,17.078,0.191,44.14161,-68.70669,2.3,6.25,11.7,766.8,0
7/15/20,08:36:18,0,stonington,0.09,-0.03,3547.3,0.246,4234.1,95.6,98.4,9.11,0.35,2.23,4180,-0.59,0.72,2717,1.206,NA,NA,17.075,0.066,44.14161,-68.7067,2.4,6.25,11.7,767,0
7/15/20,08:36:19,0,stonington,0.1,0,3561.8,0.242,4252,95.6,98.4,9.1,0.345,2.24,4197.6,-0.58,0.73,2728,1.206,NA,NA,17.07,0.09,44.14161,-68.7067,2.2,6.25,11.7,767,0
7/15/20,08:36:20,0,stonington,0.11,0.01,4.9,0.239,5.8,95.8,98.6,9.25,0.339,0,5.7,-0.6,0.7,4,1.206,NA,NA,17.063,0.095,44.14161,-68.7067,2,6.25,11.7,766.9,0
7/15/20,08:36:21,0,stonington,0.09,0.06,4.7,0.235,5.6,96,98.8,9.26,0.334,0,5.5,-0.61,0.75,4,1.206,NA,NA,17.056,0.098,44.14162,-68.70671,1.9,6.26,11.7,766.9,0
7/15/20,08:36:22,0,stonington,0.12,0.08,4.3,0.231,5.2,96.1,98.8,9.27,0.328,0,5.1,-0.56,0.78,3,1.206,NA,NA,17.045,0.099,44.14162,-68.70671,1.7,6.26,11.7,766.8,0
7/15/20,08:36:23,0,stonington,0.18,0.11,4.1,0.227,5,96.1,98.9,9.28,0.323,0,4.9,-0.53,0.88,3,1.206,NA,NA,17.033,0.099,44.14162,-68.70672,1.7,6.26,11.7,766.8,0
7/15/20,08:36:24,0,stonington,0.16,0.1,4,0.224,4.8,96.2,99,9.29,0.318,0,4.7,-0.46,0.95,3,1.206,NA,NA,17.014,0.097,44.14163,-68.70672,1.7,6.26,11.7,766.9,0
7/15/20,08:36:25,0,stonington,0.15,0.11,3.9,0.22,4.7,96.2,99,9.3,0.313,0,4.6,-0.38,1.02,3,1.206,NA,NA,16.995,0.099,44.14164,-68.70673,1.7,6.26,11.7,766.8,0
7/15/20,08:36:26,0,stonington,0.06,0.09,3.9,0.216,4.6,96.2,99,9.3,0.307,0,4.6,-0.29,1.07,3,1.206,NA,NA,16.969,0.098,44.14164,-68.70673,1.7,6.26,11.7,766.9,0
7/15/20,08:36:27,0,stonington,0.02,0.09,3.8,0.212,4.6,96.2,99,9.31,0.301,0,4.5,-0.22,1.15,3,1.206,NA,NA,16.944,0.099,44.14165,-68.70674,1.8,6.26,11.7,767,0
7/15/20,08:36:28,0,stonington,0.03,0.08,3.8,0.208,4.6,96.3,99.1,9.32,0.296,0,4.5,-0.14,1.27,3,1.206,NA,NA,16.914,0.098,44.14166,-68.70674,1.8,6.26,11.7,766.9,0
7/15/20,08:36:29,0,stonington,0.02,0.07,3.8,0.204,4.6,96.3,99.1,9.33,0.29,0,4.5,-0.04,1.33,3,1.206,NA,NA,16.885,0.099,44.14167,-68.70675,1.8,6.26,11.7,766.8,0
7/15/20,08:36:30,0,stonington,-0.03,0.02,3.8,0.201,4.5,96.3,99.1,9.33,0.285,0,4.5,0.06,1.41,3,1.206,NA,NA,16.859,0.098,44.14167,-68.70675,2.1,6.26,11.7,766.8,0
7/15/20,08:36:31,0,stonington,-0.03,0,3.8,0.196,4.5,96.3,99.1,9.34,0.278,0,4.5,0.14,1.49,3,1.206,NA,NA,16.83,0.099,44.14168,-68.70676,2.2,6.25,11.7,766.9,0
7/15/20,08:36:32,0,stonington,-0.03,-0.03,3.8,0.192,4.5,96.3,99.1,9.35,0.273,0,4.4,0.21,1.61,3,1.206,NA,NA,16.804,0.1,44.14169,-68.70676,2.1,6.25,11.7,767,0
7/15/20,08:36:33,0,stonington,-0.04,-0.05,3.7,0.188,4.5,96.3,99.1,9.35,0.267,0,4.4,0.28,1.69,3,1.206,NA,NA,16.777,0.098,44.1417,-68.70676,2,6.25,11.7,766.9,0
7/15/20,08:36:34,0,stonington,-0.04,-0.05,3.7,0.184,4.4,96.3,99.1,9.36,0.262,0,4.3,0.37,1.76,3,1.206,NA,NA,16.746,0.099,44.14171,-68.70677,2,6.25,11.7,766.8,0
7/15/20,08:36:35,0,stonington,-0.05,-0.06,3.6,0.18,4.3,96.3,99.1,9.36,0.256,0,4.3,0.45,1.86,3,1.206,NA,NA,16.72,0.099,44.14172,-68.70678,2,6.25,11.7,766.9,0
7/15/20,08:36:36,0,stonington,-0.04,-0.06,3.6,0.176,4.3,96.3,99.1,9.37,0.25,0,4.2,0.46,1.94,3,1.206,NA,NA,16.691,0.1,44.14172,-68.70679,2,6.25,11.7,766.9,0
7/15/20,08:36:37,0,stonington,-0.04,-0.07,3.6,0.172,4.3,96.3,99.1,9.37,0.244,0,4.2,0.52,2.06,3,1.206,NA,NA,16.668,0.101,44.14174,-68.70679,1.9,6.25,11.7,766.9,0
7/15/20,08:36:38,0,stonington,-0.03,-0.08,3.5,0.168,4.3,96.3,99.1,9.37,0.238,0,4.2,0.57,2.11,3,1.206,NA,NA,16.643,0.097,44.14174,-68.7068,1.9,6.25,11.7,766.9,0
7/15/20,08:36:39,0,stonington,-0.02,-0.06,3.5,0.164,4.3,90.5,93.2,8.82,0.233,0,4.2,0.57,2.17,3,1.206,NA,NA,16.621,0.1,44.14175,-68.70681,1.9,6.25,11.7,767,0
7/15/20,08:36:40,0,stonington,0,0.01,3.5,0.159,4.3,90.9,93.5,8.86,0.226,0,4.2,0.6,2.23,3,1.206,NA,NA,16.565,0.101,44.14176,-68.70681,1.9,6.25,11.7,766.9,0
7/15/20,08:36:41,0,stonington,0.03,0.05,40245,0.153,50053.9,91.9,94.6,8.96,0.222,32.28,49322.4,0.56,2.19,32060,1.206,NA,NA,15.317,0.154,44.14177,-68.70682,1.9,6.26,11.6,766.9,0
7/15/20,08:36:42,0,stonington,0.06,0.09,40217.8,0.153,50405.4,94.1,96.8,7.75,0.223,32.51,49654,0.51,2.14,32275,1.206,NA,NA,15.05,0.279,44.14177,-68.70683,2,6.26,11.6,766.9,0
7/15/20,08:36:43,0,stonington,0.08,0.13,40210.1,0.155,50637.2,94.8,97.5,7.84,0.226,32.67,49873.4,0.47,2.13,32418,1.206,NA,NA,14.839,0.338,44.14178,-68.70683,2,6.26,11.6,766.8,0
7/15/20,08:36:44,0,stonington,0.11,0.16,40194.2,0.158,50741.3,95.4,98.2,7.91,0.23,32.74,49971.5,0.38,2.1,32481,1.206,NA,NA,14.756,0.341,44.14178,-68.70683,2.1,6.26,11.6,766.8,0
7/15/20,08:36:45,0,stonington,0.14,0.19,40214.1,0.162,50828.7,95.8,98.6,7.94,0.236,32.8,50055.4,0.27,2.1,32536,1.206,NA,NA,14.7,0.403,44.14179,-68.70683,2,6.26,11.6,766.9,0
7/15/20,08:36:46,0,stonington,0.18,0.21,40220.6,0.166,50889.9,96.1,98.9,7.98,0.242,32.84,50113.8,0.22,2.08,32574,1.206,NA,NA,14.664,0.434,44.14179,-68.70684,2,6.26,11.6,766.9,0
7/15/20,08:36:47,0,stonington,0.2,0.24,40224.2,0.17,50927.4,96.4,99.2,8.01,0.248,32.86,50149.5,0.14,2.03,32597,1.206,NA,NA,14.635,0.423,44.14179,-68.70684,2,6.26,11.6,766.9,0
7/15/20,08:36:48,0,stonington,0.22,0.28,40227.6,0.176,50963.4,96.7,99.5,8.03,0.256,32.89,50184,0.03,2.02,32620,1.206,NA,NA,14.61,0.483,44.14179,-68.70684,2.1,6.26,11.6,766.9,0
7/15/20,08:36:49,0,stonington,0.23,0.28,40228.8,0.183,50983.4,96.9,99.7,8.05,0.267,32.9,50203,-0.04,1.98,32632,1.206,NA,NA,14.596,0.502,44.14179,-68.70684,2.2,6.26,11.6,766.9,0
7/15/20,08:36:50,0,stonington,0.25,0.26,40230.6,0.189,51006.1,97.1,100,8.07,0.275,32.92,50224.6,-0.12,1.93,32646,1.206,NA,NA,14.582,0.483,44.14179,-68.70685,2.1,6.26,11.6,766.9,0
7/15/20,08:36:51,0,stonington,0.24,0.24,40232.1,0.195,51025.2,97.3,100.1,8.09,0.285,32.93,50242.9,-0.22,1.87,32658,1.206,NA,NA,14.568,0.52,44.14179,-68.70685,2,6.25,11.7,767,0
7/15/20,08:36:52,0,stonington,0.25,0.23,40233.2,0.201,51035.8,97.5,100.3,8.1,0.293,32.94,50253,-0.28,1.83,32664,1.206,NA,NA,14.561,0.478,44.14179,-68.70685,1.9,6.25,11.7,767,0
7/15/20,08:36:53,0,stonington,0.24,0.24,40234.3,0.209,51046.5,97.6,100.5,8.12,0.305,32.94,50263.3,-0.37,1.8,32671,1.206,NA,NA,14.552,0.506,44.14179,-68.70686,1.8,6.25,11.7,767,0
7/15/20,08:36:54,0,stonington,0.25,0.23,40235.6,0.217,51058.6,97.8,100.6,8.13,0.316,32.95,50274.7,-0.46,1.72,32679,1.206,NA,NA,14.544,0.51,44.14179,-68.70686,1.7,6.25,11.7,766.8,0
7/15/20,08:36:55,0,stonington,0.25,0.24,40236.3,0.224,51065.5,98,100.8,8.15,0.327,32.96,50281.3,-0.46,1.71,32683,1.206,NA,NA,14.54,0.48,44.14179,-68.70686,1.6,6.25,11.7,766.9,0
7/15/20,08:36:56,0,stonington,0.26,0.25,40237.8,0.234,51074.6,98.3,101.2,8.17,0.34,32.96,50290.1,-0.53,1.67,32689,1.206,NA,NA,14.535,0.518,44.14179,-68.70686,1.5,6.25,11.7,766.9,0
7/15/20,08:36:57,0,stonington,0.25,0.27,40240.1,0.244,51097.8,98.6,101.5,8.2,0.355,32.98,50312.2,-0.58,1.6,32703,1.206,NA,NA,14.519,0.495,44.14179,-68.70686,1.4,6.25,11.7,767,0
7/15/20,08:36:58,0,stonington,0.26,0.27,40242.2,0.256,51115.8,98.9,101.7,8.22,0.374,32.99,50329.5,-0.58,1.59,32714,1.206,NA,NA,14.507,0.5,44.14178,-68.70686,2,6.25,11.7,766.9,0
7/15/20,08:36:59,0,stonington,0.27,0.27,40243.4,0.267,51130.2,99.1,102,8.24,0.388,33,50343.2,-0.58,1.59,32723,1.206,NA,NA,14.495,0.498,44.14178,-68.70686,1.8,6.25,11.7,766.9,0
7/15/20,08:37:00,0,stonington,0.27,0.3,40246.1,0.277,51147.5,99.3,102.2,8.26,0.403,33.01,50359.8,-0.58,1.61,32734,1.206,NA,NA,14.485,0.499,44.14178,-68.70686,1.8,6.25,11.7,767,0
7/15/20,08:37:01,0,stonington,0.27,0.31,40246.9,0.287,51153.7,99.5,102.4,8.28,0.418,33.02,50365.7,-0.58,1.62,32738,1.206,NA,NA,14.481,0.49,44.14178,-68.70687,1.8,6.25,11.7,766.8,0
7/15/20,08:37:02,0,stonington,0.27,0.33,40247.8,0.3,51161.3,99.6,102.5,8.29,0.437,33.02,50373,-0.56,1.63,32742,1.206,NA,NA,14.476,0.513,44.14178,-68.70687,1.8,6.25,11.7,766.8,0
7/15/20,08:37:03,0,stonington,0.27,0.34,40248.3,0.309,51168.1,99.8,102.7,8.3,0.45,33.03,50379.4,-0.56,1.64,32747,1.206,NA,NA,14.471,0.475,44.14177,-68.70687,1.9,6.25,11.7,767,0
7/15/20,08:37:04,0,stonington,0.27,0.34,40249.8,0.32,51173.8,99.9,102.8,8.32,0.466,33.03,50384.9,-0.55,1.63,32750,1.206,NA,NA,14.468,0.506,44.14177,-68.70687,1.7,6.25,11.7,766.9,0
7/15/20,08:37:05,0,stonington,0.29,0.35,40250.2,0.329,51178.8,100,102.9,8.33,0.48,33.03,50389.7,-0.54,1.63,32753,1.206,NA,NA,14.464,0.481,44.14177,-68.70687,1.8,6.25,11.7,766.9,0
7/15/20,08:37:06,0,stonington,0.28,0.36,40250.9,0.34,51185.7,100.2,103.1,8.34,0.495,33.04,50396.3,-0.53,1.63,32758,1.206,NA,NA,14.46,0.504,44.14177,-68.70688,1.9,6.25,11.7,767,0
7/15/20,08:37:07,0,stonington,0.29,0.36,40251.2,0.352,51188.8,100.2,103.2,8.34,0.512,33.04,50399.2,-0.52,1.61,32759,1.206,NA,NA,14.458,0.479,44.14177,-68.70688,2.2,6.25,11.7,767,0
7/15/20,08:37:08,0,stonington,0.28,0.37,40252,0.363,51193.7,100.3,103.3,8.35,0.528,33.04,50404,-0.51,1.62,32763,1.206,NA,NA,14.455,0.524,44.14177,-68.70688,1.9,6.25,11.7,767,0
7/15/20,08:37:09,0,stonington,0.28,0.37,40252.3,0.373,51198.3,100.4,103.4,8.36,0.543,33.05,50408.3,-0.5,1.61,32765,1.206,NA,NA,14.451,0.49,44.14176,-68.70688,1.6,6.25,11.7,767,0
7/15/20,08:37:10,0,stonington,0.28,0.37,40252.1,0.383,51200.6,100.5,103.4,8.37,0.558,33.05,50410.5,-0.49,1.61,32767,1.206,NA,NA,14.45,0.512,44.14176,-68.70688,2,6.26,11.7,766.8,0
7/15/20,08:37:11,0,stonington,0.28,0.37,40252,0.394,51203.5,100.6,103.5,8.37,0.574,33.05,50413.3,-0.49,1.64,32769,1.206,NA,NA,14.447,0.522,44.14176,-68.70689,2.1,6.26,11.7,766.8,0
7/15/20,08:37:12,0,stonington,0.28,0.36,40252.5,0.406,51208.5,100.7,103.6,8.38,0.592,33.05,50418.1,-0.48,1.63,32772,1.206,NA,NA,14.444,0.523,44.14176,-68.70689,2.3,6.26,11.7,766.9,0
7/15/20,08:37:13,0,stonington,0.28,0.35,40252,0.417,51209.8,100.7,103.6,8.38,0.608,33.05,50419.3,-0.48,1.64,32773,1.206,NA,NA,14.442,0.516,44.14176,-68.70689,2.4,6.26,11.7,767,0
7/15/20,08:37:14,0,stonington,0.28,0.34,40251.8,0.427,51212.3,100.8,103.7,8.39,0.622,33.06,50421.7,-0.49,1.64,32774,1.206,NA,NA,14.44,0.504,44.14175,-68.70689,2.3,6.26,11.7,767,0
7/15/20,08:37:15,0,stonington,0.28,0.34,40251.8,0.439,51215.4,100.8,103.8,8.39,0.639,33.06,50424.6,-0.49,1.64,32776,1.206,NA,NA,14.437,0.539,44.14175,-68.70689,2.1,6.26,11.7,767,0
7/15/20,08:37:16,0,stonington,0.28,0.33,40251.9,0.451,51217.4,100.9,103.8,8.4,0.658,33.06,50426.5,-0.51,1.65,32777,1.206,NA,NA,14.436,0.517,44.14175,-68.70689,2.4,6.26,11.7,767,0
7/15/20,08:37:17,0,stonington,0.28,0.32,40251.3,0.461,51218.9,100.9,103.8,8.4,0.672,33.06,50427.9,-0.51,1.65,32778,1.206,NA,NA,14.434,0.496,44.14175,-68.70689,2.3,6.26,11.7,767,0
7/15/20,08:37:18,0,stonington,0.28,0.31,40250.2,0.472,51220.8,100.9,103.9,8.41,0.688,33.06,50429.7,-0.52,1.64,32779,1.206,NA,NA,14.432,0.522,44.14175,-68.70689,2.4,6.26,11.7,766.9,0
7/15/20,08:37:19,0,stonington,0.28,0.3,40250.4,0.481,51222.5,101,103.9,8.41,0.702,33.06,50431.3,-0.53,1.63,32780,1.206,NA,NA,14.43,0.501,44.14174,-68.70689,2.4,6.26,11.7,766.9,0
7/15/20,08:37:20,0,stonington,0.28,0.3,40249.4,0.488,51223.7,101,103.9,8.41,0.711,33.06,50432.4,-0.55,1.61,32781,1.206,NA,NA,14.429,0.536,44.14174,-68.70689,2.4,6.26,11.7,766.9,0
7/15/20,08:37:21,0,stonington,0.28,0.29,40249,0.493,51226.1,101,104,8.42,0.718,33.07,50434.6,-0.55,1.61,32782,1.206,NA,NA,14.426,0.514,44.14174,-68.70689,2.4,6.26,11.7,766.9,0
7/15/20,08:37:22,0,stonington,0.27,0.3,40248.5,0.497,51227.2,101.1,104,8.42,0.724,33.07,50435.6,-0.56,1.62,32783,1.206,NA,NA,14.425,0.513,44.14174,-68.7069,2.1,6.26,11.7,766.9,0
7/15/20,08:37:23,0,stonington,0.28,0.3,40248.5,0.499,51229.4,101.1,104,8.42,0.728,33.07,50437.8,-0.56,1.62,32785,1.206,NA,NA,14.423,0.522,44.14174,-68.7069,2.3,6.26,11.7,766.9,0
7/15/20,08:37:24,0,stonington,0.28,0.3,40248.5,0.502,51232.3,101.1,104.1,8.42,0.731,33.07,50440.5,-0.56,1.63,32786,1.206,NA,NA,14.421,0.51,44.14174,-68.7069,2.4,6.26,11.7,766.9,1
