,Date,Sample Site,Farm or Distant,Site,Chlorophyll RFU...5,Chlorophyll RFU...6,Cond µS/cm,Depth,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,Depth Round,Time (HH:mm:ss)
26,7/14/20,HI Distant,Distant,HI,0.853157895,0.958421053,38957.38947,4.714947368,51424.2,108.4052632,111.5736842,9.294210526,6.873473684,33.11736842,50577.89474,-0.361578947,3.396315789,32875.68421,1.206157895,NA,NA,12.97263158,4.979526316,44.03920263,-68.91752105,3.442105263,6.26,11.7,761.4,4.684210526,NA
27,7/21/20,HI Distant,Distant,HI,0.934117647,1.032941176,39683.41176,4.884764706,51614.94706,106.4058824,109.4941176,9.006470588,7.120647059,33.29,50784.24118,-0.588235294,3.434117647,33009.88235,1.206117647,NA,NA,13.55770588,5.078176471,44.03953647,-68.91666882,3.352941176,6.24,11.7,760.5,4.764705882,NA
37,8/6/20,HI Distant,Distant,HI,0.55,0.6232,40550.224,5.08872,52262.348,101.036,103.964,8.4628,7.42032,33.7788,51434.24,-0.5196,2.5132,33432.2,1.207,8.164,-66.124,13.92152,5.0852,44.039546,-68.9182316,3.676,6.21,11.7,763.76,5.12,NA
29,8/13/20,HI Distant,Distant,HI,0.485,0.532307692,40323.86538,4.959115385,52164.93846,96.21923077,99.02692308,8.088846154,7.231192308,33.7,51332.78077,-0.621538462,2.403846154,33366.34615,1.207,8.150384615,-65.21538462,13.77257692,5.153461538,44.03772,-68.91407462,1.592307692,6.19,10.93076923,764.2653846,5.038461538,NA
31,8/19/20,HI Distant,Distant,HI,1.39962963,1.490740741,41445.92963,5.177777778,51869.50741,111.1222222,114.3481481,9.09962963,7.547333333,33.56777778,51099.05926,-0.614814815,5.671481481,33214.48148,1.207,8.23,-70.0962963,15.109,5.427481481,44.03974296,-68.91577852,7.155555556,5.888888889,0,759.5666667,5.111111111,NA
34,8/25/20,HI Distant,Distant,HI,1.202777778,1.391111111,41327.84444,5.119777778,52589.69444,98.90555556,101.7666667,8.185,7.466555556,34.04833333,51777.55556,-0.603333333,4.835,33655.38889,1.206,8.197777778,-68.23333333,14.43377778,5.227888889,44.04139444,-68.91616,4.244444444,6.13,11.62222222,753.1888889,5.055555556,NA
38,9/1/20,HI Distant,Distant,HI,1.37462963,1.548148148,40748.82778,5.18837037,52563.20556,101.5666667,104.5259259,8.502962963,7.566907407,33.99425926,51729.02593,0.241481481,2.936296296,33623.85185,1.194,8.212037037,-68.88333333,13.88722222,5.31187037,44.03947944,-68.9168437,2.109259259,6.1,11.6962963,767.962963,5.296296296,NA
39,9/10/20,HI Distant,Distant,HI,1.431142857,1.569714286,41683.83429,5.0604,52679.82571,109.3542857,112.5342857,8.995428571,7.379828571,34.13028571,51878.71714,0.054,3.427428571,33721.17143,1.19,8.195428571,-68.06571429,14.71134286,5.330342857,44.03964114,-68.91772314,5.6,6.1,11.69142857,765.8714286,5.057142857,NA
25,11/9/20,HI Distant,Distant,HI,0.295555556,0.314444444,38228.64444,4.838777778,53550.08889,93.83333333,96.55555556,8.373333333,7.063777778,34.48888889,52620.84444,0.061111111,-0.91,34203.33333,1.19,8.196666667,-67.32222222,10.68033333,4.976888889,44.04107,-68.91821556,-1.288888889,6.05,11.63333333,768.5222222,4.888888889,NA
28,7/28/21,HI Distant,Distant,HI,NA,0.373571429,38111.6,5.135571429,50095.97857,106.1357143,106.85,9.122857143,7.480785714,32.17571429,49275.65,0.46,NA,32029.21429,NA,7.857857143,-78.72857143,13.13635714,5.286928571,44.04022857,-68.91738571,6.835714286,3.327857143,11.8,761.3071429,5.142857143,NA
